alpha,beta,q_v,q_h,q_v_hat,q_h_hat,chi_vh
0.5,0.0000,1.0000000000e-02,9.9337091526e-03,3.3112363842e-35,6.6666666667e-35,4.38569e-35
0.5,0.0100,1.0000997867e-02,9.9343495898e-03,3.3114498633e-07,6.6673319114e-07,4.38597e-07
0.5,0.0200,1.0003985763e-02,9.9362716570e-03,1.3248362209e-06,2.6677295369e-06,1.75472e-06
0.5,0.0300,1.0008959806e-02,9.9394776175e-03,2.9818432852e-06,6.0053758835e-06,3.94938e-06
0.5,0.0400,1.0015924555e-02,9.9439712456e-03,5.3034513310e-06,1.0683652859e-05,7.02425e-06
0.5,0.0500,1.0024886402e-02,9.9497578354e-03,8.2914648628e-06,1.6708144004e-05,1.09817e-05
0.5,0.0600,1.0035853585e-02,9.9568442123e-03,1.1948213055e-05,2.4086048604e-05,1.58247e-05
0.5,0.0700,1.0048836206e-02,9.9652387487e-03,1.6276556623e-05,3.2826198274e-05,2.15570e-05
0.5,0.0800,1.0063846258e-02,9.9749513828e-03,2.1279896283e-05,4.2939077370e-05,2.81831e-05
0.5,0.0900,1.0080897653e-02,9.9859936417e-03,2.6962182832e-05,5.4436847328e-05,3.57080e-05
0.5,0.1000,1.0100006253e-02,9.9983786662e-03,3.3327928887e-05,6.7333375022e-05,4.41375e-05
0.5,0.1100,1.0121189912e-02,1.0012121243e-02,4.0382222347e-05,8.1644265287e-05,5.34783e-05
0.5,0.1200,1.0144468515e-02,1.0027237838e-02,4.8130741620e-05,9.7386897740e-05,6.37377e-05
0.5,0.1300,1.0169864031e-02,1.0043746633e-02,5.6579772697e-05,1.1458046808e-04,7.49237e-05
0.5,0.1400,1.0197400565e-02,1.0061667571e-02,6.5736228131e-05,1.3324603405e-04,8.70452e-05
0.5,0.1500,1.0227104417e-02,1.0081022403e-02,7.5607668021e-05,1.5340656626e-04,1.00112e-04
0.5,0.1600,1.0259004150e-02,1.0101834737e-02,8.6202323086e-05,1.7508700415e-04,1.14134e-04
0.5,0.1700,1.0293130658e-02,1.0124130097e-02,9.7529119933e-05,1.9831431735e-04,1.29124e-04
0.5,0.1800,1.0329517250e-02,1.0147935986e-02,1.0959770865e-04,2.2311757261e-04,1.45092e-04
0.5,0.1900,1.0368199733e-02,1.0173281951e-02,1.2241849281e-04,2.4952800691e-04,1.62053e-04
0.5,0.2000,1.0409216505e-02,1.0200199661e-02,1.3600266214e-04,2.7757910680e-04,1.80021e-04
0.5,0.2100,1.0452608654e-02,1.0228722976e-02,1.5036222774e-04,3.0730669442e-04,1.99010e-04
0.5,0.2200,1.0498420072e-02,1.0258888046e-02,1.6551006047e-04,3.3874902099e-04,2.19037e-04
0.5,0.2300,1.0546697571e-02,1.0290733398e-02,1.8145993225e-04,3.7194686767e-04,2.40119e-04
0.5,0.2400,1.0597491011e-02,1.0324300037e-02,1.9822656071e-04,4.0694365483e-04,2.62274e-04
0.5,0.2500,1.0650853438e-02,1.0359631554e-02,2.1582565738e-04,4.4378555992e-04,2.85522e-04
0.5,0.2600,1.0706841233e-02,1.0396774246e-02,2.3427397967e-04,4.8252164490e-04,3.09882e-04
0.5,0.2700,1.0765514273e-02,1.0435777240e-02,2.5358938692e-04,5.2320399368e-04,3.35378e-04
0.5,0.2800,1.0826936106e-02,1.0476692628e-02,2.7379090069e-04,5.6588786047e-04,3.62033e-04
0.5,0.2900,1.0891174137e-02,1.0519575629e-02,2.9489877013e-04,6.1063182997e-04,3.89871e-04
0.5,0.3000,1.0958299825e-02,1.0564484715e-02,3.1693454144e-04,6.5749798950e-04,4.18917e-04
0.5,0.3100,1.1028388909e-02,1.0611481816e-02,3.3992113416e-04,7.0655211607e-04,4.49201e-04
0.5,0.3200,1.1101521636e-02,1.0660632487e-02,3.6388292223e-04,7.5786387704e-04,4.80751e-04
0.5,0.3300,1.1177783021e-02,1.0712006113e-02,3.8884582189e-04,8.1150704730e-04,5.13597e-04
0.5,0.3400,1.1257263110e-02,1.0765676117e-02,4.1483738636e-04,8.6755974371e-04,5.47774e-04
0.5,0.3500,1.1340057287e-02,1.0821720198e-02,4.4188690809e-04,9.2610467843e-04,5.83315e-04
0.5,0.3600,1.1426266582e-02,1.0880220580e-02,4.7002552905e-04,9.8722943267e-04,6.20258e-04
0.5,0.3700,1.1515998023e-02,1.0941264279e-02,4.9928635992e-04,1.0510267529e-03,6.58641e-04
0.5,0.3800,1.1609365004e-02,1.1004943398e-02,5.2970460887e-04,1.1175948711e-03,6.98505e-04
0.5,0.3900,1.1706487698e-02,1.1071355452e-02,5.6131772144e-04,1.1870378525e-03,7.39893e-04
0.5,0.4000,1.1807493469e-02,1.1140603677e-02,5.9416552944e-04,1.2594659700e-03,7.82853e-04
0.5,0.4100,1.1912517377e-02,1.1212797444e-02,6.2829041679e-04,1.3349961141e-03,8.27432e-04
0.5,0.4200,1.2021702672e-02,1.1288052636e-02,6.6373749502e-04,1.4137522342e-03,8.73682e-04
0.5,0.4300,1.2135201355e-02,1.1366492089e-02,7.0055479573e-04,1.4958658204e-03,9.21659e-04
0.5,0.4400,1.2253174785e-02,1.1448246063e-02,7.3879347926e-04,1.5814764256e-03,9.71419e-04
0.5,0.4500,1.2375794338e-02,1.1533452761e-02,7.7850806140e-04,1.6707322356e-03,1.02302e-03
0.5,0.4600,1.2503242129e-02,1.1622258895e-02,8.1975666073e-04,1.7637906897e-03,1.07654e-03
0.5,0.4700,1.2635711770e-02,1.1714820266e-02,8.6260126559e-04,1.8608191533e-03,1.13204e-03
0.5,0.4800,1.2773409254e-02,1.1811302468e-02,9.0710802958e-04,1.9619956614e-03,1.18958e-03
0.5,0.4900,1.2916553871e-02,1.1911881592e-02,9.5334759010e-04,2.0675097229e-03,1.24926e-03
0.5,0.5000,1.3065379224e-02,1.2016745020e-02,1.0013954184e-03,2.1775632040e-03,1.31116e-03
