beta,q_v,q_h,r_v,q_v_hat,q_h_hat,r_v_hat,iter
0.0000,5.0000000000e-33,5.0000000014e-33,1.0000000000e+00,2.5000000007e-65,2.5000000000e-65,2.5000000000e-33,1.0
0.0100,2.5000000007e-65,2.5000000007e-65,1.0000000000e+00,1.2500000003e-69,1.2500000003e-69,2.5000000000e-33,1.0
0.0200,1.2500000003e-69,1.2500000007e-69,1.0000000000e+00,2.5000000014e-73,2.5000000007e-73,2.5000000000e-33,1.0
0.0300,2.5000000014e-73,2.5000000014e-73,1.0000000000e+00,1.1250000006e-76,1.1250000006e-76,2.5000000000e-33,1.0
0.0400,1.1250000006e-76,1.1250000009e-76,1.0000000000e+00,9.0000000075e-80,9.0000000050e-80,2.5000000000e-33,1.0
0.0500,9.0000000075e-80,9.0000000075e-80,1.0000000000e+00,1.1250000009e-82,1.1250000009e-82,2.5000000000e-33,1.0
0.0600,1.1250000009e-82,1.1250000012e-82,1.0000000000e+00,2.0250000022e-85,2.0250000017e-85,2.5000000000e-33,1.0
0.0700,2.0250000022e-85,2.0250000022e-85,1.0000000000e+00,4.9612500055e-88,4.9612500055e-88,2.5000000000e-33,1.0
0.0800,4.9612500055e-88,4.9612500069e-88,1.0000000000e+00,1.5876000022e-90,1.5876000018e-90,2.5000000000e-33,1.0
0.0900,1.5876000022e-90,1.5876000022e-90,1.0000000000e+00,6.4297800089e-93,6.4297800089e-93,2.5000000000e-33,1.0
0.1000,6.4297800089e-93,6.4297800107e-93,1.0000000000e+00,3.2148900053e-95,3.2148900044e-95,2.5000000000e-33,1.0
0.1100,3.2148900053e-95,3.2148900053e-95,1.0000000000e+00,1.9450084532e-97,1.9450084532e-97,2.5000000000e-33,1.0
0.1200,1.9450084532e-97,1.9450084538e-97,1.0000000000e+00,1.4004060867e-99,1.4004060863e-99,2.5000000000e-33,1.0
0.1300,1.4004060867e-99,1.4004060867e-99,1.0000000000e+00,1.1833431433e-101,1.1833431433e-101,2.5000000000e-33,1.0
0.1400,1.1833431433e-101,1.1833431436e-101,1.0000000000e+00,1.1596762807e-103,1.1596762804e-103,2.5000000000e-33,1.0
0.1500,1.1596762807e-103,1.1596762807e-103,1.0000000000e+00,1.3046358158e-105,1.3046358158e-105,2.5000000000e-33,1.0
0.1600,1.3046358158e-105,1.3046358162e-105,1.0000000000e+00,1.6699338447e-107,1.6699338442e-107,2.5000000000e-33,1.0
0.1700,1.6699338447e-107,1.6699338447e-107,1.0000000000e+00,2.4130544056e-109,2.4130544056e-109,2.5000000000e-33,1.0
0.1800,2.4130544056e-109,2.4130544063e-109,1.0000000000e+00,3.9091481381e-111,3.9091481371e-111,2.5000000000e-33,1.0
0.1900,3.9091481381e-111,3.9091481381e-111,1.0000000000e+00,7.0560123894e-113,7.0560123894e-113,2.5000000000e-33,1.0
0.2000,7.0560123894e-113,7.0560123913e-113,1.0000000000e+00,1.4112024783e-114,1.4112024779e-114,2.5000000000e-33,1.0
0.2100,1.4112024783e-114,1.4112024783e-114,1.0000000000e+00,3.1117014646e-116,3.1117014646e-116,2.5000000000e-33,1.0
0.2200,3.1117014646e-116,3.1117014654e-116,1.0000000000e+00,7.5303175463e-118,7.5303175443e-118,2.5000000000e-33,1.0
0.2300,7.5303175463e-118,7.5303175463e-118,1.0000000000e+00,1.9917689910e-119,1.9917689910e-119,2.5000000000e-33,1.0
0.2400,1.9917689910e-119,1.9917689916e-119,1.0000000000e+00,5.7362946957e-121,5.7362946941e-121,2.5000000000e-33,1.0
0.2500,5.7362946957e-121,5.7362946957e-121,1.0000000000e+00,1.7925920924e-122,1.7925920924e-122,2.5000000000e-33,1.0
0.2600,1.7925920924e-122,1.7925920929e-122,1.0000000000e+00,6.0589612740e-124,6.0589612723e-124,2.5000000000e-33,1.0
0.2700,6.0589612740e-124,6.0589612740e-124,1.0000000000e+00,2.2084913844e-125,2.2084913844e-125,2.5000000000e-33,1.0
0.2800,2.2084913844e-125,2.2084913850e-125,1.0000000000e+00,8.6572862291e-127,8.6572862267e-127,2.5000000000e-33,1.0
0.2900,8.6572862291e-127,8.6572862291e-127,1.0000000000e+00,3.6403888593e-128,3.6403888593e-128,2.5000000000e-33,1.0
0.3000,3.6403888593e-128,3.6403888603e-128,1.0000000000e+00,1.6381749872e-129,1.6381749867e-129,2.5000000000e-33,1.0
