Epoch,chi_Mean_0.2775,chi_Mean_1.11,chi_Mean_4.44
1,-36.405651,-34.062304,-61.158026
2,-22.892971,-22.475431,-47.717846
3,-18.752170,-18.729082,-39.988252
4,-17.508531,-17.519126,-35.523579
5,-17.142115,-17.118186,-32.874481
6,-17.029022,-16.972855,-31.255860
7,-16.988937,-16.912881,-30.195598
8,-16.970152,-16.883967,-29.416055
9,-16.956340,-16.866785,-28.829531
10,-16.944684,-16.852533,-28.332215
11,-16.933846,-16.841223,-27.940450
12,-16.922539,-16.829943,-27.591859
13,-16.910050,-16.819096,-27.283061
14,-16.898240,-16.807888,-27.036424
15,-16.886837,-16.797894,-26.802296
16,-16.874598,-16.786732,-26.563348
17,-16.862080,-16.775360,-26.372890
18,-16.850134,-16.764271,-26.189559
19,-16.838695,-16.754002,-26.030671
20,-16.827327,-16.743028,-25.851632
21,-16.815749,-16.732692,-25.689648
22,-16.804645,-16.722050,-25.565163
23,-16.793323,-16.712405,-25.434199
24,-16.782955,-16.702018,-25.294542
25,-16.772447,-16.691746,-25.193465
26,-16.761380,-16.681652,-25.077363
27,-16.750578,-16.671759,-24.973953
28,-16.740020,-16.662392,-24.868320
29,-16.730745,-16.653472,-24.778226
30,-16.720063,-16.643222,-24.676999
31,-16.710242,-16.634069,-24.604793
32,-16.700327,-16.625403,-24.514496
33,-16.690707,-16.615869,-24.444531
34,-16.681295,-16.607112,-24.357931
35,-16.671763,-16.599085,-24.302723
36,-16.661850,-16.590511,-24.205924
37,-16.653189,-16.582464,-24.154772
38,-16.644536,-16.574372,-24.108395
39,-16.636460,-16.565692,-24.053327
40,-16.627664,-16.557910,-23.986249
41,-16.619077,-16.550624,-23.929945
42,-16.610475,-16.542340,-23.869770
43,-16.601959,-16.535251,-23.829194
44,-16.593684,-16.527874,-23.781807
45,-16.585775,-16.521231,-23.731198
46,-16.577665,-16.513898,-23.676764
47,-16.569774,-16.506569,-23.629255
48,-16.561903,-16.498801,-23.604665
49,-16.554516,-16.491774,-23.565668
50,-16.547110,-16.484641,-23.533807
51,-16.540164,-16.478690,-23.504385
52,-16.532431,-16.472458,-23.446783
53,-16.525311,-16.465203,-23.417010
54,-16.518893,-16.458692,-23.384244
55,-16.511088,-16.452762,-23.353781
56,-16.505158,-16.446947,-23.339950
57,-16.498362,-16.440912,-23.312916
58,-16.491818,-16.434530,-23.269659
59,-16.484847,-16.428177,-23.239524
60,-16.478978,-16.422740,-23.227946
61,-16.471878,-16.416578,-23.198825
62,-16.465527,-16.411854,-23.168078
63,-16.459928,-16.405637,-23.131701
64,-16.453253,-16.399974,-23.117583
65,-16.447704,-16.394484,-23.097365
66,-16.441854,-16.390267,-23.057727
67,-16.435263,-16.384096,-23.055169
68,-16.429703,-16.378763,-23.027511
69,-16.424312,-16.374034,-23.011267
70,-16.418697,-16.368622,-23.000939
71,-16.413453,-16.364079,-22.996572
72,-16.408746,-16.359050,-22.955170
73,-16.402825,-16.354508,-22.957993
74,-16.397668,-16.349237,-22.935093
75,-16.392021,-16.344059,-22.903059
76,-16.386685,-16.339718,-22.875460
77,-16.381924,-16.335878,-22.871499
78,-16.376986,-16.330676,-22.846208
79,-16.371971,-16.326536,-22.831114
80,-16.367812,-16.322675,-22.817060
81,-16.362812,-16.318609,-22.801611
82,-16.357645,-16.313814,-22.799278
83,-16.353809,-16.309256,-22.785123
84,-16.349833,-16.305705,-22.773775
85,-16.344809,-16.301260,-22.765438
86,-16.340392,-16.296984,-22.729318
87,-16.335436,-16.293886,-22.735404
88,-16.331496,-16.289303,-22.715837
89,-16.327062,-16.285553,-22.706762
90,-16.323236,-16.282798,-22.683793
91,-16.318983,-16.278821,-22.663205
92,-16.315578,-16.274919,-22.645793
93,-16.311229,-16.270636,-22.630596
94,-16.307197,-16.267583,-22.633951
95,-16.303355,-16.264064,-22.616056
96,-16.299453,-16.260588,-22.590490
97,-16.295857,-16.256758,-22.580628
98,-16.291913,-16.253547,-22.565324
99,-16.287680,-16.250622,-22.550890
100,-16.284649,-16.247593,-22.526676
101,-16.281984,-16.244069,-22.523522
102,-16.278285,-16.240744,-22.510394
103,-16.274519,-16.238025,-22.492900
104,-16.270957,-16.235167,-22.471069
105,-16.267442,-16.231949,-22.451635
106,-16.263733,-16.228216,-22.435561
107,-16.260318,-16.224921,-22.419468
108,-16.256236,-16.221367,-22.412202
109,-16.253003,-16.218428,-22.396681
110,-16.250112,-16.215453,-22.382252
111,-16.247409,-16.212930,-22.371823
112,-16.244960,-16.209666,-22.345588
113,-16.241156,-16.207574,-22.336032
114,-16.239063,-16.204433,-22.321120
115,-16.235518,-16.202527,-22.298154
116,-16.233229,-16.199322,-22.274885
117,-16.230582,-16.197091,-22.277203
118,-16.226581,-16.194286,-22.249803
119,-16.223482,-16.191946,-22.225559
120,-16.220952,-16.188894,-22.211251
121,-16.218342,-16.185750,-22.209724
122,-16.215875,-16.183507,-22.191851
123,-16.213722,-16.181096,-22.172639
124,-16.211993,-16.178965,-22.151507
125,-16.209170,-16.176555,-22.133010
126,-16.206602,-16.173837,-22.123132
127,-16.204109,-16.171806,-22.120031
128,-16.201822,-16.169899,-22.112002
129,-16.199700,-16.167248,-22.102580
130,-16.197576,-16.164647,-22.070525
131,-16.195055,-16.161755,-22.073734
132,-16.192069,-16.160120,-22.046131
133,-16.189581,-16.158069,-22.031262
134,-16.188185,-16.155876,-22.023529
135,-16.186241,-16.154250,-22.008303
136,-16.183989,-16.152152,-21.975530
137,-16.180801,-16.150136,-21.977156
138,-16.179341,-16.146893,-21.957866
139,-16.177677,-16.145344,-21.943571
140,-16.175096,-16.143275,-21.918327
141,-16.172863,-16.141952,-21.899443
142,-16.170911,-16.139625,-21.888523
143,-16.170022,-16.137839,-21.869173
144,-16.167840,-16.135770,-21.853903
145,-16.165572,-16.134760,-21.845408
146,-16.163694,-16.132130,-21.830568
147,-16.161736,-16.130224,-21.807311
148,-16.159114,-16.128426,-21.794052
149,-16.156838,-16.126727,-21.778806
150,-16.156051,-16.124720,-21.767167
151,-16.153692,-16.122742,-21.746193
152,-16.151706,-16.120724,-21.736946
153,-16.149663,-16.119009,-21.733292
154,-16.148110,-16.116987,-21.716478
155,-16.146349,-16.114997,-21.692586
156,-16.144535,-16.114382,-21.686450
157,-16.142346,-16.112518,-21.675777
158,-16.141011,-16.111230,-21.656035
159,-16.139287,-16.109694,-21.653151
160,-16.137565,-16.107990,-21.652740
161,-16.135666,-16.106666,-21.630770
162,-16.134087,-16.105597,-21.618933
163,-16.132577,-16.104206,-21.611039
164,-16.131728,-16.102953,-21.585758
165,-16.130640,-16.100863,-21.577168
166,-16.129215,-16.099111,-21.561741
167,-16.126848,-16.096964,-21.557969
168,-16.125146,-16.096562,-21.523394
169,-16.123256,-16.094578,-21.510984
170,-16.122079,-16.093238,-21.483136
171,-16.121490,-16.091862,-21.491469
172,-16.119740,-16.091049,-21.481785
173,-16.118674,-16.089809,-21.458462
174,-16.116666,-16.089257,-21.445916
175,-16.115238,-16.087467,-21.414322
176,-16.113828,-16.085511,-21.402385
177,-16.111918,-16.084537,-21.413680
178,-16.110291,-16.083328,-21.391138
179,-16.110220,-16.081518,-21.392305
180,-16.108900,-16.080361,-21.380466
181,-16.107455,-16.078951,-21.348174
182,-16.106103,-16.077745,-21.350745
183,-16.104809,-16.077052,-21.328618
184,-16.104106,-16.075645,-21.307042
185,-16.103802,-16.074132,-21.301204
186,-16.102523,-16.073398,-21.303278
187,-16.100475,-16.071691,-21.295370
188,-16.099257,-16.071054,-21.263742
189,-16.098701,-16.070030,-21.267246
190,-16.097985,-16.068511,-21.246078
191,-16.097098,-16.068223,-21.244288
192,-16.096567,-16.066752,-21.212610
193,-16.094409,-16.065508,-21.202502
194,-16.092475,-16.065253,-21.195102
195,-16.091327,-16.064205,-21.171161
196,-16.089638,-16.063766,-21.159742
197,-16.088723,-16.062473,-21.167397
198,-16.087685,-16.062224,-21.155321
199,-16.087288,-16.061210,-21.152807
200,-16.086412,-16.059203,-21.131587
