Epoch,chi_Mean_0.2775,chi_Mean_1.11,chi_Mean_4.44
1,-47.840330,-46.155012,-69.741260
2,-27.293177,-26.975071,-50.724707
3,-19.936234,-20.034656,-40.593469
4,-17.306727,-17.451908,-35.305820
5,-16.320828,-16.425720,-32.398569
6,-15.913348,-15.983526,-30.772998
7,-15.723523,-15.764802,-29.788253
8,-15.621890,-15.646119,-29.166780
9,-15.560121,-15.575455,-28.830001
10,-15.518518,-15.526875,-28.613960
11,-15.484950,-15.490869,-28.450156
12,-15.455662,-15.459741,-28.355012
13,-15.431184,-15.432833,-28.243139
14,-15.409668,-15.410564,-28.217404
15,-15.390177,-15.390158,-28.186589
16,-15.373933,-15.373349,-28.158778
17,-15.357218,-15.356885,-28.135532
18,-15.342490,-15.342920,-28.091309
19,-15.329528,-15.329514,-28.068449
20,-15.317923,-15.316697,-28.107504
21,-15.307009,-15.305299,-28.115411
22,-15.296370,-15.296023,-28.144945
23,-15.287407,-15.285911,-28.180276
24,-15.279835,-15.277967,-28.207756
25,-15.272903,-15.270642,-28.249144
26,-15.266427,-15.263329,-28.285290
27,-15.260795,-15.257491,-28.293203
28,-15.255779,-15.251005,-28.306458
29,-15.250975,-15.245579,-28.337697
30,-15.246606,-15.240769,-28.325463
31,-15.242900,-15.237009,-28.330603
32,-15.239334,-15.233872,-28.314556
33,-15.236499,-15.230570,-28.339268
34,-15.233933,-15.227328,-28.365318
35,-15.233824,-15.223413,-28.348301
36,-15.230596,-15.221125,-28.338947
37,-15.228529,-15.219665,-28.342106
38,-15.226528,-15.218625,-28.352526
39,-15.223546,-15.215379,-28.349450
40,-15.220413,-15.212141,-28.323176
41,-15.219236,-15.210637,-28.332586
42,-15.215309,-15.206966,-28.297940
43,-15.213161,-15.203732,-28.306791
44,-15.213386,-15.202858,-28.301774
45,-15.212635,-15.200100,-28.262728
46,-15.208434,-15.198172,-28.227625
47,-15.205879,-15.197013,-28.217096
48,-15.205671,-15.192450,-28.188020
49,-15.203240,-15.190254,-28.191063
50,-15.200521,-15.186049,-28.182175
51,-15.197502,-15.185251,-28.142404
52,-15.191691,-15.186108,-28.109596
53,-15.190607,-15.183366,-28.102305
54,-15.188876,-15.178695,-28.046787
55,-15.183507,-15.173856,-28.042208
56,-15.179216,-15.170711,-27.994604
57,-15.173891,-15.164708,-27.951836
58,-15.168376,-15.164361,-27.961249
59,-15.166246,-15.161200,-27.921197
60,-15.162569,-15.159616,-27.903550
61,-15.159250,-15.157029,-27.833703
62,-15.158574,-15.153905,-27.814196
63,-15.159299,-15.151411,-27.780833
64,-15.157872,-15.146783,-27.741465
65,-15.153185,-15.142800,-27.683311
66,-15.151937,-15.138059,-27.659391
67,-15.151868,-15.134498,-27.633467
68,-15.148788,-15.130405,-27.604490
69,-15.145491,-15.127318,-27.589270
70,-15.142224,-15.124673,-27.574516
71,-15.140848,-15.122987,-27.506439
72,-15.135371,-15.120779,-27.492814
73,-15.131200,-15.117189,-27.468053
74,-15.126358,-15.114849,-27.455665
75,-15.123917,-15.111621,-27.434864
76,-15.121003,-15.106388,-27.395363
77,-15.116558,-15.101863,-27.351639
78,-15.113832,-15.097647,-27.299838
79,-15.110233,-15.094427,-27.271944
80,-15.107579,-15.091795,-27.269000
81,-15.107023,-15.092429,-27.203219
82,-15.105302,-15.088777,-27.166517
83,-15.101215,-15.083995,-27.129157
84,-15.098682,-15.082131,-27.106034
85,-15.096223,-15.080012,-27.085051
86,-15.092169,-15.074441,-27.021978
87,-15.089539,-15.073745,-27.004224
88,-15.085809,-15.070311,-26.974674
89,-15.084117,-15.067000,-26.946647
90,-15.082089,-15.064422,-26.888487
91,-15.076770,-15.062944,-26.875169
92,-15.074719,-15.059865,-26.860763
93,-15.072693,-15.058783,-26.808454
94,-15.068576,-15.055547,-26.777204
95,-15.066472,-15.053568,-26.746428
96,-15.064527,-15.049451,-26.708210
97,-15.063356,-15.046859,-26.684994
98,-15.058453,-15.043936,-26.647638
99,-15.054467,-15.041428,-26.604501
100,-15.054164,-15.039664,-26.576514
101,-15.046686,-15.036577,-26.558296
102,-15.042689,-15.032378,-26.526086
103,-15.039225,-15.030159,-26.499370
104,-15.034260,-15.028373,-26.495203
105,-15.034886,-15.026017,-26.468917
106,-15.033165,-15.022880,-26.422619
107,-15.027944,-15.020200,-26.398152
108,-15.027103,-15.016039,-26.371022
109,-15.024033,-15.014029,-26.358326
110,-15.020597,-15.008878,-26.337226
111,-15.020135,-15.009510,-26.304549
112,-15.016591,-15.005058,-26.279554
113,-15.014052,-15.004124,-26.247153
114,-15.014297,-15.001225,-26.214155
115,-15.011284,-14.999546,-26.194169
116,-15.009448,-14.997641,-26.169520
117,-15.007207,-14.996716,-26.144983
118,-15.002951,-14.995214,-26.112678
119,-15.001399,-14.994099,-26.086800
120,-14.999139,-14.987941,-26.065770
121,-14.997052,-14.987700,-26.026100
122,-14.994611,-14.985371,-25.992830
123,-14.994398,-14.982908,-25.970281
124,-14.990854,-14.977976,-25.953128
125,-14.989099,-14.977392,-25.945203
126,-14.984704,-14.974402,-25.903189
127,-14.982935,-14.971085,-25.876007
128,-14.980428,-14.969158,-25.838977
129,-14.977280,-14.967867,-25.827132
130,-14.976124,-14.966459,-25.801122
131,-14.975255,-14.963072,-25.765328
132,-14.972531,-14.962021,-25.748180
133,-14.971347,-14.960044,-25.750717
134,-14.967060,-14.958756,-25.727606
135,-14.965491,-14.955844,-25.711235
136,-14.962652,-14.952577,-25.704736
137,-14.963930,-14.952654,-25.690159
138,-14.962873,-14.949753,-25.661852
139,-14.961813,-14.948695,-25.661617
140,-14.960102,-14.946958,-25.647482
141,-14.958861,-14.946584,-25.617189
142,-14.956057,-14.945515,-25.615439
143,-14.954031,-14.943997,-25.570587
144,-14.953781,-14.941730,-25.546730
145,-14.950144,-14.939279,-25.549809
146,-14.949974,-14.939012,-25.543827
147,-14.947759,-14.938028,-25.485114
148,-14.946723,-14.936457,-25.458597
149,-14.944107,-14.934913,-25.426258
150,-14.943010,-14.933885,-25.418015
151,-14.940703,-14.932546,-25.404129
152,-14.937500,-14.930968,-25.375685
153,-14.934393,-14.929841,-25.362673
154,-14.933586,-14.929038,-25.367000
155,-14.931398,-14.925147,-25.345035
156,-14.932024,-14.924359,-25.321345
157,-14.930211,-14.921839,-25.304255
158,-14.927534,-14.918815,-25.268406
159,-14.926401,-14.917869,-25.284482
160,-14.924563,-14.915677,-25.241538
161,-14.924808,-14.916115,-25.226708
162,-14.922338,-14.915100,-25.206303
163,-14.920373,-14.913679,-25.182247
164,-14.920566,-14.911392,-25.175959
165,-14.917743,-14.908668,-25.156096
166,-14.918211,-14.907741,-25.143565
167,-14.916205,-14.904766,-25.120316
168,-14.915148,-14.903296,-25.118883
169,-14.912977,-14.902439,-25.068782
170,-14.911265,-14.900112,-25.054145
171,-14.910583,-14.900259,-25.008227
172,-14.910057,-14.899629,-25.003323
173,-14.907316,-14.898386,-24.997342
174,-14.904979,-14.896997,-24.987878
175,-14.901728,-14.895905,-24.958919
176,-14.901800,-14.895524,-24.935777
177,-14.900751,-14.894594,-24.939645
178,-14.899870,-14.892094,-24.914576
179,-14.898271,-14.890799,-24.896699
180,-14.896930,-14.890223,-24.885018
181,-14.896075,-14.888415,-24.862399
182,-14.895159,-14.889086,-24.852916
183,-14.892514,-14.887386,-24.830775
184,-14.894198,-14.886501,-24.805168
185,-14.894277,-14.884939,-24.787439
186,-14.893317,-14.884877,-24.759392
187,-14.893249,-14.886596,-24.774712
188,-14.890330,-14.885699,-24.760495
189,-14.889098,-14.884157,-24.768638
190,-14.888239,-14.882880,-24.717748
191,-14.887064,-14.880979,-24.735105
192,-14.885622,-14.879921,-24.707400
193,-14.884960,-14.879137,-24.698335
194,-14.883783,-14.878476,-24.679921
195,-14.881440,-14.877628,-24.672462
196,-14.879475,-14.877345,-24.656095
197,-14.880117,-14.876431,-24.635905
198,-14.878487,-14.877471,-24.614515
199,-14.877753,-14.875808,-24.610010
200,-14.876207,-14.874589,-24.590494
201,-14.876160,-14.874434,-24.596979
202,-14.875846,-14.873327,-24.591604
203,-14.875004,-14.871956,-24.561376
204,-14.874898,-14.871669,-24.560935
205,-14.873855,-14.870711,-24.536443
206,-14.871830,-14.870065,-24.533686
207,-14.870695,-14.868380,-24.530538
208,-14.870438,-14.868247,-24.483960
209,-14.869295,-14.866802,-24.484698
210,-14.868494,-14.865477,-24.469294
211,-14.867572,-14.863762,-24.443295
212,-14.866917,-14.862535,-24.415318
213,-14.864901,-14.862814,-24.412649
214,-14.864439,-14.862828,-24.395245
215,-14.863219,-14.862494,-24.391878
216,-14.862551,-14.862294,-24.364818
217,-14.861463,-14.860736,-24.347437
218,-14.862058,-14.860388,-24.338912
219,-14.861348,-14.858598,-24.337382
220,-14.861243,-14.857976,-24.347051
221,-14.859141,-14.857716,-24.333866
222,-14.858123,-14.857463,-24.305010
223,-14.857636,-14.856948,-24.301176
224,-14.857490,-14.855985,-24.267867
225,-14.856575,-14.854614,-24.278784
226,-14.856397,-14.853923,-24.262559
227,-14.855856,-14.853365,-24.253939
228,-14.854442,-14.852632,-24.249726
229,-14.853695,-14.851749,-24.229231
230,-14.852944,-14.852563,-24.222449
231,-14.851453,-14.850926,-24.225727
232,-14.850586,-14.850405,-24.213445
233,-14.850513,-14.850019,-24.211049
234,-14.849735,-14.849488,-24.201853
235,-14.849660,-14.848869,-24.186626
236,-14.849513,-14.848872,-24.184675
237,-14.848824,-14.848818,-24.180606
238,-14.848225,-14.848478,-24.161280
239,-14.847979,-14.847190,-24.132292
240,-14.847653,-14.846767,-24.120369
241,-14.846957,-14.846946,-24.115495
242,-14.845917,-14.846318,-24.105491
243,-14.845902,-14.846601,-24.088390
244,-14.844996,-14.845934,-24.096218
245,-14.844610,-14.845350,-24.083697
246,-14.844063,-14.844553,-24.075630
247,-14.843552,-14.844623,-24.079494
248,-14.843768,-14.843609,-24.052038
249,-14.843393,-14.842503,-24.033636
250,-14.842731,-14.842889,-24.007395
251,-14.842286,-14.842947,-24.014495
252,-14.842188,-14.842652,-24.009282
253,-14.841887,-14.843288,-23.973903
254,-14.841194,-14.843496,-23.976905
255,-14.840717,-14.842565,-23.980734
256,-14.840516,-14.841971,-23.990647
257,-14.840311,-14.841081,-23.971800
258,-14.839804,-14.840268,-23.942404
259,-14.839614,-14.840198,-23.949020
260,-14.838664,-14.840068,-23.945941
261,-14.838520,-14.838997,-23.914782
262,-14.838206,-14.839297,-23.905307
263,-14.837379,-14.839290,-23.879134
264,-14.836546,-14.838985,-23.917484
265,-14.836552,-14.837958,-23.896805
266,-14.836020,-14.837730,-23.876731
267,-14.835516,-14.838063,-23.876167
268,-14.834935,-14.837907,-23.854907
269,-14.834393,-14.837891,-23.843291
270,-14.833575,-14.837702,-23.852469
271,-14.833050,-14.837617,-23.829308
272,-14.832744,-14.837053,-23.825124
273,-14.832513,-14.836421,-23.839677
274,-14.832170,-14.835089,-23.804092
275,-14.831868,-14.835215,-23.785262
276,-14.831879,-14.835225,-23.771100
277,-14.831523,-14.835321,-23.775601
278,-14.831483,-14.835847,-23.752690
279,-14.831308,-14.835650,-23.765870
280,-14.831032,-14.836014,-23.736194
281,-14.830832,-14.836764,-23.721139
282,-14.830485,-14.835556,-23.721373
283,-14.830052,-14.835250,-23.723691
284,-14.829975,-14.834931,-23.724767
285,-14.829546,-14.834952,-23.719777
286,-14.829400,-14.835564,-23.701780
287,-14.829012,-14.835704,-23.693796
288,-14.828986,-14.834791,-23.683388
289,-14.829045,-14.834676,-23.680643
290,-14.828874,-14.834962,-23.681884
291,-14.828490,-14.833881,-23.696914
292,-14.828239,-14.834105,-23.639997
