Epoch,chi_Mean_0.25,chi_Mean_1.0,chi_Mean_4.0
1,-40.408209,-36.858182,-65.511198
2,-27.618728,-26.195713,-51.821485
3,-24.665166,-23.320898,-46.178367
4,-23.389792,-22.011053,-43.352152
5,-22.591741,-21.265893,-41.710578
6,-22.160081,-20.838731,-40.547988
7,-21.878734,-20.538915,-39.719701
8,-21.638429,-20.404763,-39.029270
9,-21.585925,-20.364645,-38.505651
10,-21.648047,-20.355893,-38.075945
11,-21.706476,-20.353592,-37.729198
12,-21.738693,-20.353493,-37.424203
13,-21.766631,-20.351302,-37.159854
14,-21.775878,-20.337999,-36.916192
15,-21.786120,-20.311123,-36.708371
16,-21.784432,-20.270784,-36.537458
17,-21.766721,-20.233933,-36.339310
18,-21.746945,-20.210289,-36.186297
19,-21.726474,-20.165817,-36.028485
20,-21.699980,-20.120105,-35.881499
21,-21.664725,-20.092121,-35.733979
22,-21.630449,-20.037679,-35.580835
23,-21.601611,-19.980274,-35.452070
24,-21.551620,-19.950463,-35.299411
25,-21.505764,-19.909078,-35.161366
26,-21.462770,-19.876786,-35.043525
27,-21.411224,-19.830286,-34.909902
28,-21.375735,-19.786971,-34.805264
29,-21.344423,-19.747371,-34.679135
30,-21.288694,-19.709610,-34.572847
31,-21.245694,-19.672040,-34.468424
32,-21.205747,-19.631687,-34.346728
33,-21.155455,-19.587677,-34.240094
34,-21.111593,-19.562595,-34.131880
35,-21.059408,-19.527228,-34.026073
36,-21.034070,-19.502896,-33.921439
37,-20.974451,-19.472412,-33.830651
38,-20.923036,-19.441661,-33.724205
39,-20.880925,-19.414218,-33.635609
40,-20.833524,-19.384656,-33.551575
41,-20.804890,-19.348157,-33.458315
42,-20.771993,-19.315560,-33.363531
43,-20.734910,-19.292043,-33.292346
44,-20.688720,-19.272692,-33.197176
45,-20.639915,-19.257558,-33.125511
46,-20.604003,-19.232937,-33.022428
47,-20.584074,-19.215184,-32.942913
48,-20.552731,-19.192713,-32.848909
49,-20.523712,-19.168773,-32.773662
50,-20.491187,-19.155379,-32.694081
51,-20.462276,-19.137026,-32.624812
52,-20.435999,-19.131971,-32.535602
53,-20.398492,-19.105199,-32.461399
54,-20.360538,-19.089917,-32.376663
55,-20.338560,-19.074119,-32.321296
56,-20.303554,-19.066308,-32.230019
57,-20.276396,-19.052126,-32.159907
58,-20.256461,-19.029695,-32.098394
59,-20.238779,-19.013386,-32.007962
60,-20.211294,-18.992968,-31.941202
61,-20.179646,-18.988635,-31.868549
62,-20.167759,-18.975684,-31.811660
63,-20.151256,-18.968815,-31.742821
64,-20.119593,-18.953733,-31.675111
65,-20.094005,-18.934214,-31.609753
66,-20.079710,-18.921379,-31.545101
67,-20.077659,-18.900710,-31.505151
68,-20.056315,-18.898650,-31.438121
69,-20.042923,-18.879223,-31.362642
70,-20.017176,-18.869784,-31.279003
71,-20.000684,-18.858391,-31.226564
72,-19.992658,-18.850834,-31.168472
73,-19.982935,-18.828713,-31.107224
74,-19.966677,-18.814426,-31.051531
75,-19.950475,-18.798749,-31.000987
76,-19.928380,-18.793331,-30.950812
77,-19.915820,-18.767192,-30.895899
78,-19.908966,-18.757096,-30.852173
79,-19.885419,-18.737792,-30.786157
80,-19.870106,-18.724813,-30.734563
81,-19.854783,-18.709677,-30.674499
82,-19.843439,-18.698888,-30.650354
83,-19.833500,-18.695841,-30.614614
84,-19.831415,-18.675407,-30.561668
85,-19.818778,-18.661061,-30.509876
86,-19.804291,-18.658065,-30.481951
87,-19.796318,-18.635098,-30.436838
88,-19.777475,-18.622105,-30.384251
89,-19.768383,-18.613164,-30.345703
90,-19.754177,-18.602256,-30.293843
91,-19.732740,-18.596792,-30.244981
92,-19.721807,-18.577832,-30.231065
93,-19.712940,-18.563645,-30.161568
94,-19.696783,-18.549263,-30.131493
95,-19.678372,-18.527557,-30.075902
96,-19.680553,-18.525573,-30.039893
97,-19.669365,-18.504438,-30.009650
98,-19.658531,-18.490941,-29.957742
99,-19.655612,-18.480680,-29.921275
100,-19.653420,-18.471380,-29.878060
101,-19.647134,-18.460678,-29.838730
102,-19.646146,-18.457228,-29.798748
103,-19.644956,-18.448858,-29.766389
104,-19.644803,-18.430839,-29.732543
105,-19.637406,-18.422531,-29.672681
106,-19.631601,-18.406359,-29.641226
107,-19.633437,-18.410065,-29.618094
108,-19.616451,-18.392151,-29.573210
109,-19.607288,-18.376622,-29.540795
110,-19.608167,-18.359376,-29.501253
111,-19.601724,-18.345125,-29.478790
112,-19.602472,-18.343733,-29.430514
113,-19.595099,-18.331130,-29.400869
114,-19.585913,-18.323403,-29.360878
115,-19.573565,-18.310873,-29.329523
116,-19.566656,-18.288408,-29.299128
117,-19.547517,-18.278359,-29.274000
118,-19.520158,-18.276615,-29.233663
119,-19.517534,-18.265995,-29.197781
120,-19.494101,-18.258393,-29.160080
121,-19.468136,-18.242111,-29.125243
122,-19.463781,-18.234148,-29.108839
123,-19.435484,-18.230363,-29.069810
124,-19.414828,-18.218504,-29.036080
125,-19.404662,-18.204473,-29.012690
126,-19.384625,-18.198680,-28.976997
127,-19.355046,-18.184511,-28.935915
128,-19.354847,-18.176285,-28.899186
129,-19.326582,-18.165402,-28.870321
130,-19.307699,-18.160327,-28.845187
131,-19.283054,-18.154959,-28.831029
132,-19.268354,-18.142255,-28.786450
133,-19.252227,-18.132542,-28.762744
134,-19.233609,-18.131621,-28.727075
135,-19.218604,-18.105114,-28.702177
136,-19.203169,-18.102537,-28.668696
137,-19.177683,-18.095077,-28.627928
138,-19.163913,-18.089185,-28.605845
139,-19.143008,-18.087899,-28.566614
140,-19.132962,-18.076390,-28.540655
141,-19.111851,-18.072192,-28.513204
142,-19.091707,-18.062749,-28.483764
143,-19.075899,-18.045101,-28.446408
144,-19.056719,-18.036020,-28.419991
145,-19.042863,-18.041818,-28.385536
146,-19.028652,-18.031430,-28.373028
147,-19.006057,-18.021158,-28.345014
148,-19.000611,-18.004259,-28.327132
149,-18.980707,-18.011279,-28.287060
150,-18.960704,-18.006265,-28.265830
151,-18.951771,-18.009010,-28.250397
152,-18.936189,-17.993922,-28.218659
153,-18.922804,-17.992964,-28.179471
154,-18.908359,-17.984516,-28.154085
155,-18.885039,-17.969920,-28.118542
