Epoch,beta_max/4,beta_max,4beta_max
1,-14.137414,-15.055158,-83.184671
2,-14.053420,-14.814151,-79.882609
3,-13.935979,-14.608512,-76.823622
4,-13.785658,-14.429934,-73.960951
5,-13.624546,-14.272120,-71.255365
6,-13.488112,-14.131160,-68.707120
7,-13.401112,-14.007333,-66.275390
8,-13.357901,-13.898044,-64.018294
9,-13.333984,-13.802613,-61.852257
10,-13.316793,-13.717754,-59.789241
11,-13.302690,-13.643659,-57.797880
12,-13.289814,-13.579816,-55.930550
13,-13.277375,-13.523787,-54.157941
14,-13.266000,-13.474504,-52.488664
15,-13.254864,-13.431873,-50.910133
16,-13.243005,-13.394192,-49.395985
17,-13.231778,-13.359411,-47.945973
18,-13.221169,-13.328127,-46.574406
19,-13.210359,-13.299949,-45.278112
20,-13.199500,-13.273934,-44.008789
21,-13.188805,-13.250044,-42.788789
22,-13.178366,-13.227995,-41.614920
23,-13.168408,-13.206945,-40.498666
24,-13.158593,-13.187509,-39.452370
25,-13.148437,-13.169440,-38.436126
26,-13.138563,-13.151962,-37.467392
27,-13.128993,-13.135450,-36.534698
28,-13.118629,-13.119794,-35.637302
29,-13.108854,-13.104757,-34.772173
30,-13.099399,-13.090230,-33.948071
31,-13.089601,-13.076371,-33.152855
32,-13.080838,-13.063140,-32.384060
33,-13.071662,-13.050196,-31.640251
34,-13.062294,-13.037871,-30.908820
35,-13.053477,-13.025789,-30.216893
36,-13.044525,-13.014354,-29.548485
37,-13.035295,-13.003464,-28.909026
38,-13.026283,-12.992833,-28.311222
39,-13.017631,-12.982035,-27.726733
40,-13.008884,-12.971509,-27.163137
41,-12.999985,-12.961470,-26.623036
42,-12.991906,-12.951835,-26.096791
43,-12.983356,-12.941817,-25.597603
44,-12.975112,-12.932338,-25.114132
45,-12.966518,-12.923091,-24.646434
46,-12.958667,-12.914290,-24.201715
47,-12.950442,-12.905472,-23.764869
48,-12.942098,-12.896617,-23.340543
49,-12.934733,-12.888098,-22.931632
50,-12.926961,-12.879694,-22.537160
51,-12.918980,-12.871279,-22.157704
52,-12.911220,-12.863425,-21.791479
53,-12.903734,-12.855613,-21.444335
54,-12.896418,-12.848298,-21.112357
55,-12.888593,-12.840477,-20.788925
56,-12.881259,-12.832885,-20.483877
57,-12.873804,-12.825003,-20.189053
58,-12.866529,-12.816987,-19.907639
59,-12.859301,-12.809381,-19.635174
60,-12.851798,-12.802407,-19.372392
61,-12.845113,-12.795536,-19.120137
62,-12.838384,-12.788926,-18.880421
63,-12.831701,-12.781986,-18.650959
64,-12.824634,-12.774585,-18.430715
65,-12.817824,-12.767381,-18.214746
66,-12.810799,-12.760640,-18.009250
67,-12.804127,-12.754280,-17.805064
68,-12.797886,-12.747904,-17.614403
69,-12.791678,-12.740980,-17.434361
70,-12.785024,-12.734018,-17.258041
71,-12.778536,-12.727700,-17.089101
72,-12.772185,-12.721466,-16.924186
73,-12.766178,-12.715236,-16.765081
74,-12.760248,-12.709380,-16.610058
75,-12.753665,-12.703467,-16.462810
76,-12.747567,-12.697219,-16.322707
77,-12.741526,-12.691345,-16.188806
78,-12.735047,-12.685339,-16.060046
79,-12.729448,-12.679151,-15.934955
80,-12.723549,-12.672998,-15.814802
