Epoch,beta_max/4,beta_max,4beta_max
1,-14.190765,-15.388601,-129.775139
2,-14.184401,-15.254204,-113.610235
3,-14.177796,-15.130751,-100.440703
4,-14.170935,-15.017086,-89.843472
5,-14.163611,-14.916843,-81.220577
6,-14.155916,-14.826519,-73.979114
7,-14.147756,-14.740133,-67.905089
8,-14.139219,-14.661818,-62.673222
9,-14.130233,-14.588305,-58.072821
10,-14.120825,-14.521961,-54.161551
11,-14.110883,-14.459738,-50.652296
12,-14.100218,-14.401751,-47.587805
13,-14.089312,-14.345510,-44.887724
14,-14.077720,-14.291774,-42.430822
15,-14.065354,-14.242217,-40.210080
16,-14.052369,-14.196803,-38.280938
17,-14.038649,-14.153681,-36.447655
18,-14.024673,-14.112684,-34.799729
19,-14.009993,-14.075487,-33.303272
20,-13.994339,-14.039781,-31.908031
21,-13.978395,-14.003718,-30.626542
22,-13.962063,-13.970240,-29.448284
23,-13.945035,-13.939335,-28.379362
24,-13.927275,-13.910057,-27.409541
25,-13.909059,-13.881760,-26.492835
26,-13.889864,-13.855655,-25.626581
27,-13.870520,-13.829863,-24.860716
28,-13.850433,-13.805353,-24.140714
29,-13.829738,-13.781914,-23.470403
30,-13.809172,-13.760164,-22.858084
31,-13.788460,-13.739210,-22.280232
32,-13.767536,-13.719011,-21.743519
33,-13.745722,-13.699289,-21.243502
34,-13.724654,-13.681310,-20.771998
35,-13.703869,-13.663727,-20.332946
36,-13.682853,-13.646607,-19.921600
37,-13.662308,-13.630141,-19.525220
38,-13.641849,-13.614255,-19.166278
39,-13.622505,-13.599477,-18.821619
40,-13.602919,-13.584671,-18.510670
41,-13.583388,-13.570515,-18.216414
42,-13.564549,-13.557057,-17.935112
43,-13.546701,-13.543636,-17.671098
44,-13.529240,-13.530740,-17.420872
45,-13.513092,-13.518593,-17.198447
46,-13.497467,-13.507422,-16.985198
47,-13.483282,-13.495864,-16.781801
48,-13.469218,-13.484552,-16.584304
49,-13.456076,-13.473797,-16.401440
50,-13.444460,-13.463433,-16.229050
51,-13.432733,-13.453310,-16.068912
52,-13.422142,-13.443357,-15.914699
53,-13.411903,-13.433603,-15.773157
54,-13.402280,-13.424059,-15.636476
55,-13.394802,-13.414794,-15.512190
56,-13.386588,-13.406197,-15.391239
57,-13.379505,-13.397389,-15.280090
58,-13.372997,-13.389071,-15.170429
59,-13.366474,-13.380845,-15.069452
60,-13.361148,-13.372977,-14.974654
61,-13.355394,-13.365171,-14.888409
62,-13.350832,-13.357388,-14.802123
63,-13.346284,-13.349740,-14.719269
64,-13.341969,-13.342155,-14.639318
65,-13.337622,-13.334864,-14.563371
66,-13.334119,-13.327863,-14.493235
67,-13.330878,-13.321136,-14.425520
68,-13.327615,-13.314384,-14.360667
69,-13.324519,-13.307745,-14.296514
70,-13.321710,-13.301398,-14.236387
71,-13.318684,-13.294994,-14.181724
72,-13.316145,-13.288991,-14.126977
73,-13.313626,-13.282982,-14.078154
74,-13.311415,-13.276865,-14.030290
75,-13.308950,-13.270881,-13.985755
76,-13.306449,-13.264923,-13.942023
77,-13.304089,-13.259155,-13.899704
78,-13.301821,-13.253521,-13.858660
79,-13.299541,-13.248058,-13.818879
80,-13.297594,-13.242636,-13.780236
81,-13.295598,-13.237275,-13.742567
82,-13.293562,-13.231842,-13.708281
83,-13.291511,-13.226663,-13.674696
84,-13.289461,-13.221750,-13.641946
85,-13.287394,-13.216807,-13.610694
86,-13.285481,-13.211612,-13.581316
87,-13.283565,-13.206999,-13.553031
88,-13.281689,-13.202034,-13.526036
89,-13.279853,-13.197367,-13.499516
90,-13.277873,-13.192838,-13.472921
91,-13.276122,-13.188163,-13.448152
92,-13.274273,-13.183898,-13.424900
93,-13.272338,-13.179404,-13.402372
94,-13.270405,-13.175010,-13.380077
95,-13.268539,-13.170517,-13.358693
96,-13.266796,-13.166166,-13.338643
97,-13.264889,-13.161968,-13.318549
98,-13.263074,-13.157601,-13.298841
99,-13.261236,-13.153382,-13.280367
100,-13.259467,-13.149311,-13.261857
101,-13.257591,-13.145247,-13.244545
102,-13.255787,-13.141201,-13.227222
103,-13.253963,-13.137211,-13.210007
104,-13.252156,-13.133399,-13.193982
105,-13.250331,-13.129538,-13.177966
106,-13.248552,-13.125563,-13.162443
107,-13.246801,-13.121914,-13.147475
108,-13.245029,-13.118269,-13.133270
