Epoch,beta_max/4,beta_max,4beta_max
1,-14.196325,-15.357882,-77.255230
2,-14.191589,-15.245844,-69.918001
3,-14.186567,-15.145166,-63.758476
4,-14.181303,-15.050744,-58.790396
5,-14.175790,-14.962298,-54.585798
6,-14.169971,-14.881939,-50.960263
7,-14.163931,-14.807603,-47.842561
8,-14.157532,-14.735924,-45.115670
9,-14.150866,-14.670585,-42.627036
10,-14.143662,-14.609780,-40.415926
11,-14.136354,-14.550430,-38.500051
12,-14.128563,-14.492975,-36.707822
13,-14.120385,-14.440364,-35.120289
14,-14.111858,-14.388770,-33.663427
15,-14.102845,-14.340086,-32.327441
16,-14.093443,-14.293921,-31.128152
17,-14.083505,-14.249866,-30.034017
18,-14.073029,-14.208759,-28.997070
19,-14.062124,-14.168545,-28.049591
20,-14.050677,-14.129062,-27.188706
21,-14.038726,-14.092107,-26.402488
22,-14.026311,-14.056953,-25.679542
23,-14.013281,-14.023425,-24.992366
24,-13.999992,-13.991774,-24.358870
25,-13.986046,-13.960979,-23.766634
26,-13.971784,-13.931860,-23.212612
27,-13.957360,-13.903813,-22.697299
28,-13.942110,-13.877701,-22.222640
29,-13.926331,-13.851565,-21.771964
30,-13.910236,-13.826804,-21.341495
31,-13.894341,-13.802157,-20.939101
32,-13.877423,-13.779456,-20.556977
33,-13.860194,-13.757301,-20.199096
34,-13.842626,-13.736321,-19.871155
35,-13.824683,-13.716350,-19.554879
36,-13.807396,-13.697061,-19.261818
37,-13.789345,-13.678047,-18.990206
38,-13.771066,-13.660662,-18.727944
39,-13.753028,-13.643545,-18.480544
40,-13.735072,-13.627429,-18.240942
41,-13.716786,-13.611933,-18.018612
42,-13.698221,-13.596561,-17.803520
43,-13.680330,-13.582377,-17.600751
44,-13.662039,-13.568225,-17.411593
45,-13.644763,-13.554695,-17.234593
46,-13.627660,-13.542336,-17.061907
47,-13.610900,-13.530360,-16.904080
48,-13.594774,-13.518649,-16.750465
49,-13.578931,-13.506604,-16.606446
50,-13.564034,-13.495726,-16.468611
51,-13.549949,-13.484868,-16.336738
52,-13.535677,-13.474302,-16.210166
53,-13.521838,-13.463950,-16.088295
54,-13.508603,-13.453955,-15.974984
55,-13.495922,-13.444704,-15.863609
56,-13.483893,-13.435915,-15.756207
57,-13.472102,-13.426822,-15.653934
58,-13.461066,-13.418035,-15.554767
59,-13.450808,-13.409691,-15.462888
60,-13.440960,-13.401236,-15.373576
61,-13.431703,-13.393556,-15.287435
62,-13.423011,-13.385526,-15.205090
63,-13.414457,-13.378023,-15.127223
64,-13.407089,-13.370904,-15.052251
65,-13.399738,-13.364155,-14.981266
66,-13.393020,-13.357482,-14.913449
67,-13.386968,-13.350568,-14.845729
68,-13.380838,-13.343935,-14.783454
69,-13.375284,-13.337515,-14.721777
70,-13.370187,-13.331477,-14.664139
71,-13.365109,-13.325657,-14.607587
72,-13.360874,-13.319829,-14.553800
73,-13.356318,-13.313964,-14.503144
74,-13.352058,-13.308291,-14.453431
75,-13.347929,-13.302884,-14.404954
76,-13.344096,-13.297641,-14.358930
77,-13.340752,-13.292096,-14.313907
78,-13.337621,-13.286914,-14.269890
79,-13.334300,-13.281802,-14.229102
80,-13.331152,-13.276646,-14.188348
81,-13.328063,-13.271763,-14.150372
82,-13.324835,-13.266986,-14.112949
83,-13.322135,-13.262358,-14.077075
84,-13.319654,-13.257524,-14.042183
85,-13.317211,-13.253087,-14.008055
86,-13.314874,-13.248570,-13.975141
87,-13.312582,-13.244256,-13.944360
88,-13.310502,-13.239898,-13.914674
89,-13.308282,-13.235657,-13.885799
90,-13.306099,-13.231526,-13.858158
91,-13.304024,-13.227310,-13.830067
92,-13.302057,-13.223189,-13.803951
93,-13.300117,-13.219179,-13.778724
94,-13.298250,-13.215341,-13.754583
95,-13.296430,-13.211364,-13.730387
96,-13.294496,-13.207531,-13.706660
97,-13.292783,-13.203800,-13.684191
98,-13.291075,-13.199955,-13.662155
99,-13.289236,-13.196279,-13.640752
100,-13.287401,-13.192578,-13.620246
101,-13.285631,-13.188936,-13.600278
102,-13.283846,-13.185454,-13.580988
103,-13.282191,-13.181951,-13.561240
104,-13.280579,-13.178433,-13.542930
105,-13.278878,-13.174939,-13.524622
106,-13.277198,-13.171429,-13.507520
107,-13.275530,-13.168231,-13.490266
108,-13.273919,-13.164811,-13.473489
109,-13.272252,-13.161582,-13.457778
110,-13.270619,-13.158335,-13.441967
111,-13.268987,-13.155024,-13.427257
112,-13.267453,-13.151798,-13.411706
113,-13.265840,-13.148674,-13.397479
114,-13.264191,-13.145565,-13.382613
115,-13.262631,-13.142506,-13.368751
116,-13.261056,-13.139456,-13.355138
117,-13.259532,-13.136444,-13.343189
118,-13.257981,-13.133441,-13.329948
119,-13.256401,-13.130568,-13.317342
120,-13.254887,-13.127746,-13.305486
121,-13.253376,-13.124959,-13.293747
122,-13.251812,-13.122011,-13.282448
123,-13.250220,-13.119224,-13.270852
124,-13.248665,-13.116499,-13.260334
125,-13.247093,-13.113706,-13.248987
126,-13.245545,-13.110802,-13.238490
127,-13.243987,-13.108025,-13.228330
128,-13.242436,-13.105320,-13.217876
129,-13.240923,-13.102622,-13.208149
130,-13.239408,-13.099895,-13.198687
131,-13.237907,-13.097252,-13.189165
132,-13.236412,-13.094577,-13.179926
133,-13.234896,-13.091970,-13.171018
134,-13.233412,-13.089477,-13.162523
135,-13.231907,-13.087035,-13.153647
136,-13.230385,-13.084353,-13.145087
137,-13.228873,-13.081895,-13.136885
138,-13.227366,-13.079257,-13.128389
139,-13.225890,-13.076709,-13.120808
140,-13.224384,-13.074291,-13.113026
141,-13.222874,-13.071884,-13.105185
142,-13.221344,-13.069464,-13.097354
143,-13.219822,-13.067087,-13.090441
144,-13.218331,-13.064726,-13.083060
145,-13.216817,-13.062389,-13.076066
146,-13.215351,-13.060008,-13.069188
147,-13.213900,-13.057623,-13.062358
148,-13.212453,-13.055348,-13.055941
149,-13.210938,-13.053062,-13.049502
150,-13.209430,-13.050800,-13.043208
151,-13.207966,-13.048493,-13.036753
152,-13.206479,-13.046099,-13.030478
153,-13.204993,-13.043837,-13.024517
154,-13.203509,-13.041566,-13.018739
155,-13.202105,-13.039275,-13.012660
156,-13.200602,-13.037015,-13.006919
157,-13.199090,-13.034843,-13.001337
158,-13.197651,-13.032681,-12.994930
