Epoch,beta_max/4,beta_max,4beta_max
1,-18.363537,-19.480246,-113.842172
2,-18.263262,-19.210472,-110.050270
3,-18.132547,-18.970055,-106.519486
4,-17.972876,-18.753741,-103.236439
5,-17.789597,-18.562457,-99.976470
6,-17.601713,-18.388540,-96.970605
7,-17.437220,-18.230587,-94.106627
8,-17.317108,-18.083373,-91.336776
9,-17.236707,-17.954391,-88.771434
10,-17.184448,-17.838021,-86.250944
11,-17.142715,-17.732690,-83.899551
12,-17.106148,-17.635148,-81.538360
13,-17.072729,-17.549668,-79.235994
14,-17.037426,-17.474291,-77.147157
15,-17.007259,-17.404706,-75.121214
16,-16.977029,-17.339391,-73.153433
17,-16.949168,-17.281405,-71.284661
18,-16.924349,-17.229681,-69.567499
19,-16.900043,-17.179960,-67.906400
20,-16.877853,-17.135200,-66.225954
21,-16.857007,-17.090220,-64.614543
22,-16.836636,-17.049932,-63.064013
23,-16.817376,-17.012806,-61.587922
24,-16.798581,-16.977923,-60.198327
25,-16.781106,-16.943236,-58.891186
26,-16.764845,-16.910885,-57.608549
27,-16.746917,-16.878756,-56.340028
28,-16.729585,-16.847967,-55.079990
29,-16.715119,-16.820835,-53.897905
30,-16.701456,-16.794554,-52.747692
31,-16.686931,-16.769196,-51.646742
32,-16.674310,-16.745820,-50.564226
33,-16.660929,-16.723587,-49.537284
34,-16.647306,-16.698638,-48.529136
35,-16.633593,-16.676440,-47.530867
36,-16.620222,-16.655400,-46.603833
37,-16.607457,-16.633710,-45.648363
38,-16.595109,-16.613225,-44.763848
39,-16.583472,-16.593783,-43.922098
40,-16.568788,-16.575651,-43.096163
41,-16.554413,-16.558316,-42.262426
42,-16.541267,-16.540344,-41.434671
43,-16.528850,-16.523426,-40.666320
44,-16.515850,-16.506512,-39.939600
45,-16.503010,-16.490696,-39.203038
46,-16.493317,-16.473715,-38.461833
47,-16.480273,-16.457153,-37.770311
48,-16.467718,-16.439627,-37.122091
49,-16.455031,-16.424087,-36.479501
50,-16.443962,-16.408853,-35.873560
51,-16.433097,-16.395068,-35.274035
52,-16.420768,-16.383349,-34.679223
53,-16.405442,-16.368671,-34.113254
54,-16.394178,-16.355448,-33.560139
55,-16.381347,-16.341121,-33.016391
56,-16.367906,-16.327069,-32.499581
57,-16.354113,-16.311959,-32.021006
58,-16.341403,-16.297638,-31.555645
59,-16.329850,-16.283527,-31.110797
60,-16.319797,-16.270486,-30.676470
61,-16.310052,-16.258571,-30.249131
62,-16.301031,-16.246109,-29.835418
63,-16.289800,-16.232982,-29.420991
64,-16.279093,-16.220127,-29.014378
65,-16.266886,-16.207453,-28.629373
66,-16.254832,-16.195312,-28.261008
67,-16.244038,-16.182651,-27.876802
68,-16.229340,-16.171881,-27.511246
