Epoch,beta_max/4,beta_max,4beta_max
1,-18.439426,-19.224038,-60.548130
2,-18.434495,-19.171424,-57.826420
3,-18.429233,-19.118664,-55.295677
4,-18.423474,-19.068546,-53.047293
5,-18.417750,-19.020017,-51.068763
6,-18.411594,-18.973541,-49.263758
7,-18.405202,-18.926260,-47.625121
8,-18.398328,-18.880639,-46.158792
9,-18.390808,-18.836139,-44.808252
10,-18.382889,-18.794146,-43.587825
11,-18.374884,-18.751258,-42.416313
12,-18.366758,-18.709419,-41.321840
13,-18.357906,-18.668475,-40.258531
14,-18.348263,-18.627908,-39.320615
15,-18.338491,-18.587857,-38.401330
16,-18.327960,-18.548875,-37.530199
17,-18.316587,-18.510606,-36.734707
18,-18.305062,-18.471946,-35.969692
19,-18.292768,-18.433474,-35.226625
20,-18.280684,-18.396410,-34.519765
21,-18.267138,-18.359970,-33.875374
22,-18.253846,-18.324852,-33.248570
23,-18.239637,-18.289476,-32.652989
24,-18.224184,-18.255257,-32.106829
25,-18.208219,-18.220761,-31.575264
26,-18.192084,-18.184889,-31.076270
27,-18.174431,-18.150972,-30.603435
28,-18.156792,-18.118288,-30.136849
29,-18.138316,-18.086066,-29.720392
30,-18.119586,-18.054788,-29.335926
31,-18.099902,-18.023136,-28.946025
32,-18.081062,-17.991561,-28.565739
33,-18.060390,-17.961131,-28.204319
34,-18.039846,-17.930486,-27.867982
35,-18.019194,-17.900768,-27.531042
36,-17.997402,-17.872315,-27.206847
37,-17.975791,-17.844421,-26.914335
38,-17.953110,-17.817512,-26.603105
39,-17.930762,-17.791277,-26.318691
40,-17.908008,-17.764870,-26.043898
41,-17.885648,-17.739386,-25.770978
42,-17.862563,-17.714208,-25.517278
43,-17.839300,-17.689797,-25.271646
44,-17.816123,-17.665992,-25.031992
45,-17.792307,-17.642481,-24.796222
46,-17.770595,-17.619844,-24.573910
47,-17.749219,-17.598158,-24.363085
48,-17.727042,-17.575589,-24.170428
49,-17.705058,-17.553369,-23.974366
50,-17.682359,-17.532156,-23.787801
51,-17.659425,-17.511577,-23.601122
52,-17.638588,-17.491094,-23.426331
53,-17.618353,-17.470208,-23.247900
54,-17.598968,-17.451177,-23.076269
55,-17.579358,-17.432204,-22.922732
56,-17.561327,-17.413694,-22.770002
57,-17.542345,-17.396246,-22.623240
58,-17.523655,-17.378983,-22.463962
59,-17.505521,-17.363134,-22.322953
60,-17.489185,-17.347405,-22.185021
61,-17.472298,-17.330608,-22.054851
62,-17.456205,-17.314357,-21.929008
63,-17.442161,-17.298769,-21.793353
64,-17.426463,-17.283150,-21.669847
65,-17.412186,-17.269026,-21.548888
66,-17.397363,-17.254872,-21.426400
67,-17.383940,-17.240269,-21.320158
68,-17.371926,-17.226363,-21.216342
69,-17.358947,-17.212628,-21.110469
70,-17.346001,-17.199100,-21.007558
71,-17.333873,-17.186474,-20.900429
72,-17.323602,-17.174134,-20.804481
73,-17.310917,-17.162716,-20.702904
74,-17.299130,-17.151421,-20.604327
75,-17.289289,-17.140303,-20.511517
76,-17.279284,-17.128988,-20.420952
77,-17.269179,-17.117854,-20.336206
78,-17.259555,-17.106626,-20.247024
79,-17.250422,-17.095848,-20.163179
