Epoch,chi_Mean_0.2775,chi_Mean_1.11,chi_Mean_4.44
1,-41.951558,-38.103098,-59.283074
2,-27.559446,-26.317498,-47.044857
3,-22.518167,-22.029943,-40.119088
4,-20.590374,-20.320817,-35.980975
5,-19.737069,-19.543264,-33.389430
6,-19.282476,-19.128182,-31.698869
7,-18.992384,-18.864706,-30.522052
8,-18.777076,-18.672767,-29.683813
9,-18.605390,-18.517623,-29.059109
10,-18.456571,-18.382177,-28.553700
11,-18.324570,-18.262322,-28.144968
12,-18.209253,-18.153881,-27.805972
13,-18.099856,-18.054308,-27.519315
14,-18.003874,-17.965048,-27.259959
15,-17.914918,-17.884643,-27.031725
16,-17.834864,-17.810088,-26.832560
17,-17.762229,-17.744098,-26.646944
18,-17.693147,-17.684876,-26.466118
19,-17.630161,-17.628262,-26.314022
20,-17.572875,-17.578832,-26.166874
21,-17.521908,-17.531184,-26.034811
22,-17.475718,-17.488805,-25.910420
23,-17.433125,-17.447978,-25.806241
24,-17.395372,-17.410454,-25.699297
25,-17.358310,-17.373506,-25.594761
26,-17.324217,-17.342090,-25.484089
27,-17.292880,-17.313214,-25.378800
28,-17.262783,-17.283204,-25.283126
29,-17.235986,-17.253872,-25.191011
30,-17.211722,-17.227189,-25.094713
31,-17.187944,-17.203486,-24.999556
32,-17.165859,-17.179125,-24.915561
33,-17.144767,-17.155152,-24.823724
34,-17.125244,-17.133615,-24.751058
35,-17.106832,-17.113984,-24.658287
36,-17.088306,-17.098069,-24.582936
37,-17.071024,-17.079960,-24.497507
38,-17.054726,-17.062305,-24.425943
39,-17.039290,-17.048023,-24.345043
40,-17.025001,-17.033251,-24.270345
41,-17.010804,-17.019241,-24.198178
42,-16.996160,-17.004026,-24.122936
43,-16.983607,-16.991841,-24.048569
44,-16.970173,-16.978222,-23.984137
45,-16.957534,-16.966286,-23.916898
46,-16.946060,-16.954927,-23.839949
47,-16.934182,-16.942007,-23.771916
48,-16.923730,-16.930319,-23.703190
49,-16.913179,-16.917478,-23.633069
50,-16.901571,-16.908847,-23.570468
51,-16.888705,-16.898558,-23.510192
52,-16.878866,-16.888920,-23.445453
53,-16.869649,-16.879300,-23.380558
54,-16.860077,-16.869424,-23.318391
55,-16.851096,-16.859009,-23.266782
56,-16.841827,-16.848624,-23.205355
57,-16.831925,-16.840428,-23.142876
58,-16.823251,-16.830681,-23.089905
59,-16.813202,-16.821931,-23.031726
60,-16.804774,-16.813597,-22.988077
61,-16.799011,-16.805134,-22.929995
62,-16.789295,-16.796729,-22.881297
63,-16.779746,-16.787867,-22.835641
64,-16.773894,-16.780018,-22.785827
65,-16.767267,-16.769615,-22.732035
66,-16.759910,-16.760859,-22.682707
67,-16.751184,-16.751016,-22.634763
68,-16.743195,-16.744831,-22.586092
69,-16.734974,-16.735288,-22.544631
70,-16.727697,-16.729694,-22.503008
71,-16.721167,-16.722132,-22.450213
72,-16.713816,-16.716042,-22.415284
73,-16.704846,-16.708560,-22.375529
74,-16.697327,-16.700226,-22.336614
75,-16.694206,-16.694824,-22.289570
76,-16.687587,-16.688087,-22.258222
77,-16.680425,-16.680038,-22.213984
78,-16.675536,-16.672737,-22.173249
79,-16.669412,-16.664589,-22.130304
80,-16.664776,-16.659143,-22.094781
81,-16.655899,-16.653076,-22.054320
82,-16.650072,-16.649042,-22.010981
83,-16.644358,-16.644366,-21.978359
84,-16.635279,-16.635355,-21.942858
85,-16.629660,-16.626366,-21.905659
86,-16.625609,-16.621616,-21.870723
87,-16.619295,-16.614830,-21.837829
88,-16.614035,-16.608228,-21.803971
89,-16.608878,-16.604732,-21.777982
90,-16.604446,-16.598891,-21.740104
91,-16.597363,-16.589768,-21.708093
92,-16.592512,-16.582080,-21.679057
93,-16.587156,-16.573231,-21.647615
94,-16.581652,-16.561765,-21.613609
95,-16.577467,-16.552535,-21.591578
96,-16.573551,-16.542866,-21.553597
97,-16.568969,-16.535099,-21.517158
98,-16.563969,-16.526258,-21.485670
99,-16.558627,-16.522015,-21.458140
100,-16.556493,-16.516032,-21.429422
101,-16.552716,-16.512600,-21.404485
102,-16.548756,-16.507998,-21.372016
103,-16.542243,-16.502706,-21.339336
104,-16.539085,-16.498612,-21.315118
105,-16.534983,-16.491422,-21.288528
106,-16.530646,-16.485525,-21.255648
107,-16.523862,-16.473371,-21.232378
108,-16.520250,-16.462461,-21.204697
109,-16.518616,-16.453855,-21.185827
110,-16.515439,-16.444494,-21.155844
111,-16.511130,-16.439813,-21.129722
112,-16.506970,-16.432786,-21.107960
113,-16.503330,-16.428346,-21.080102
114,-16.501418,-16.422885,-21.055136
115,-16.496134,-16.419181,-21.038993
116,-16.491394,-16.413529,-21.011930
117,-16.487972,-16.408898,-20.988484
118,-16.485350,-16.405266,-20.959683
119,-16.480505,-16.404481,-20.937542
120,-16.475650,-16.398341,-20.918915
121,-16.470907,-16.392005,-20.891102
122,-16.468115,-16.387264,-20.869704
123,-16.464381,-16.384428,-20.849396
124,-16.461187,-16.381569,-20.824890
125,-16.460671,-16.377497,-20.811062
126,-16.455942,-16.370247,-20.779099
127,-16.453174,-16.363491,-20.752852
128,-16.449381,-16.361390,-20.738663
129,-16.444838,-16.356759,-20.725942
130,-16.442234,-16.356740,-20.704470
131,-16.439846,-16.350843,-20.683027
132,-16.438991,-16.344615,-20.662777
133,-16.436535,-16.341397,-20.647503
134,-16.434128,-16.337196,-20.624696
135,-16.428771,-16.334052,-20.603723
136,-16.426485,-16.333083,-20.590687
137,-16.425089,-16.329968,-20.573817
138,-16.421203,-16.325813,-20.552154
139,-16.417179,-16.323285,-20.531623
140,-16.417238,-16.317826,-20.521597
141,-16.414561,-16.315269,-20.501469
142,-16.413247,-16.311244,-20.489547
143,-16.409954,-16.308057,-20.465703
144,-16.408355,-16.305026,-20.452519
145,-16.406381,-16.307266,-20.435835
146,-16.406327,-16.303197,-20.428393
