Epoch,chi_Mean_0.235,chi_Mean_0.94,chi_Mean_3.76
1,-51.902786,-45.899080,-66.172153
2,-40.984280,-35.411035,-51.444763
3,-33.854643,-29.455748,-45.003400
4,-29.560369,-25.909532,-41.000427
5,-26.984046,-23.832845,-38.516680
6,-25.242627,-22.642172,-36.649549
7,-24.057637,-21.871918,-35.432602
8,-23.434785,-21.347733,-34.489768
9,-23.096602,-20.904848,-33.631034
10,-22.728425,-20.528409,-33.023129
11,-22.359473,-20.244184,-32.374052
12,-22.017251,-19.994689,-31.800260
13,-21.712608,-19.798316,-31.366499
14,-21.430253,-19.652276,-30.817057
15,-21.057063,-19.461970,-30.378997
16,-20.841768,-19.378643,-29.902533
17,-20.562439,-19.200708,-29.433692
18,-20.356286,-19.110991,-29.087938
19,-20.224332,-19.010530,-28.858945
20,-20.052181,-18.885465,-28.616207
21,-19.895144,-18.833453,-28.249646
22,-19.779459,-18.757742,-28.107495
23,-19.604534,-18.762224,-27.819272
24,-19.515904,-18.676099,-27.653954
25,-19.385662,-18.613883,-27.455974
26,-19.307407,-18.561922,-27.264552
27,-19.219550,-18.549075,-27.008355
28,-19.124269,-18.509627,-26.868830
29,-19.045575,-18.487132,-26.775786
30,-19.012386,-18.448157,-26.526294
31,-18.989187,-18.416802,-26.402676
32,-18.971001,-18.369335,-26.211336
33,-19.034386,-18.419627,-26.072188
34,-19.187533,-18.369240,-25.954344
35,-19.418009,-18.396262,-25.723391
36,-19.743711,-18.376319,-25.682823
37,-20.104634,-18.479323,-25.498500
38,-20.407628,-18.416174,-25.380949
39,-20.685959,-18.441589,-25.289352
40,-21.017706,-18.421172,-25.176914
41,-21.156348,-18.410999,-25.010376
42,-21.341799,-18.495402,-24.944943
43,-21.609611,-18.466642,-24.806448
44,-21.802017,-18.489970,-24.779397
45,-21.920010,-18.506795,-24.660486
46,-21.994573,-18.502487,-24.553456
47,-22.156089,-18.532547,-24.510613
48,-22.154669,-18.470280,-24.469552
49,-22.241217,-18.488658,-24.397671
50,-22.353769,-18.513698,-24.303485
51,-22.437207,-18.464882,-24.184491
52,-22.309358,-18.471279,-24.205096
53,-22.400844,-18.515622,-24.071657
54,-22.332249,-18.484050,-24.076293
55,-22.283574,-18.447970,-23.981832
56,-22.286134,-18.439095,-23.898275
57,-22.291927,-18.484735,-23.825359
58,-22.301340,-18.452860,-23.736531
59,-22.228757,-18.467253,-23.632576
60,-22.142384,-18.511155,-23.607971
61,-22.141295,-18.420989,-23.586728
62,-22.145897,-18.449286,-23.533974
63,-22.162519,-18.476380,-23.528812
64,-22.069876,-18.475372,-23.462899
65,-21.838140,-18.461334,-23.291340
66,-21.832469,-18.425964,-23.404077
67,-21.732421,-18.431412,-23.361024
68,-21.662866,-18.437388,-23.328678
69,-21.652530,-18.458615,-23.197404
70,-21.605453,-18.410517,-23.164624
71,-21.558409,-18.397806,-23.121308
72,-21.564505,-18.459546,-23.091234
73,-21.534230,-18.398417,-23.091570
74,-21.480433,-18.367565,-23.049397
75,-21.423205,-18.361126,-22.918683
76,-21.366591,-18.379281,-22.884272
77,-21.332105,-18.358224,-22.829432
78,-21.291051,-18.304443,-22.761390
79,-21.098871,-18.264656,-22.720408
80,-21.102005,-18.262747,-22.594507
81,-21.051631,-18.243291,-22.534583
82,-20.970199,-18.291682,-22.546183
83,-21.017558,-18.267531,-22.465938
84,-20.975137,-18.273622,-22.382787
85,-20.827705,-18.245155,-22.400904
86,-20.724355,-18.274667,-22.305808
87,-20.752337,-18.198711,-22.382966
88,-20.610774,-18.222214,-22.277237
89,-20.536078,-18.257904,-22.199535
90,-20.473356,-18.199567,-22.195729
91,-20.490168,-18.202261,-22.130426
