Epoch,chi_Mean_0.25,chi_Mean_1.0,chi_Mean_4.0
1,-27.329585,-25.324593,-58.364282
2,-19.000084,-18.718029,-46.814381
3,-17.820021,-17.601701,-42.313844
4,-17.562135,-17.307130,-40.037663
5,-17.466131,-17.174332,-38.577698
6,-17.402125,-17.076377,-37.487276
7,-17.344119,-16.983498,-36.533231
8,-17.288353,-16.893305,-35.796595
9,-17.233545,-16.806231,-35.043482
10,-17.179618,-16.719891,-34.433284
11,-17.125898,-16.635958,-33.861479
12,-17.072288,-16.555330,-33.209651
13,-17.018752,-16.475277,-32.629970
14,-16.964695,-16.397656,-32.211853
15,-16.910548,-16.321825,-31.697146
16,-16.856273,-16.245534,-31.256135
17,-16.802138,-16.170303,-30.799099
18,-16.747573,-16.096351,-30.404049
19,-16.692220,-16.025280,-30.054613
20,-16.638138,-15.957307,-29.659015
21,-16.583698,-15.891251,-29.298200
22,-16.527588,-15.825796,-28.983299
23,-16.471652,-15.763575,-28.647141
24,-16.415900,-15.705427,-28.338655
25,-16.360845,-15.651651,-27.995840
26,-16.305844,-15.598148,-27.757668
27,-16.250598,-15.546341,-27.466525
28,-16.197620,-15.494583,-27.187247
29,-16.143861,-15.442054,-26.941488
30,-16.090988,-15.393174,-26.706102
31,-16.038000,-15.345443,-26.510517
32,-15.987701,-15.302256,-26.278802
33,-15.937002,-15.258886,-26.048550
34,-15.888214,-15.216727,-25.867546
35,-15.839362,-15.179023,-25.694374
36,-15.792256,-15.142814,-25.497361
37,-15.746657,-15.106827,-25.311771
38,-15.700687,-15.075212,-25.152173
39,-15.657090,-15.044814,-24.938897
40,-15.613791,-15.014061,-24.804407
41,-15.570822,-14.985392,-24.636308
42,-15.528877,-14.958232,-24.454734
43,-15.487728,-14.932129,-24.287550
44,-15.449421,-14.905807,-24.165176
45,-15.412842,-14.878927,-24.016822
46,-15.376865,-14.853051,-23.861231
47,-15.343330,-14.827010,-23.649394
48,-15.310697,-14.801554,-23.551164
49,-15.279691,-14.778708,-23.462831
50,-15.249901,-14.758198,-23.256574
