Epoch,chi_Mean_0.235,chi_Mean_0.94
1,-44.837608,-39.520100
2,-35.259252,-28.392786
3,-30.773936,-23.960560
4,-27.591426,-21.707235
5,-25.221358,-20.588669
6,-23.422253,-20.068031
7,-22.107889,-19.649850
8,-21.109310,-19.372988
9,-20.409591,-19.109116
10,-19.955444,-19.031559
11,-19.618361,-18.856645
12,-19.370007,-18.790055
13,-19.227193,-18.554316
14,-19.014502,-18.513441
15,-18.886479,-18.474917
16,-18.821139,-18.367531
17,-18.763495,-18.309719
18,-18.716520,-18.313764
19,-18.609474,-18.355896
20,-18.602152,-18.279786
21,-18.519245,-18.274067
22,-18.494311,-18.239765
23,-18.438063,-18.174345
24,-18.463293,-18.145246
25,-18.425408,-18.066456
26,-18.294764,-18.046872
27,-18.287751,-17.995839
28,-18.301241,-17.983882
29,-18.287430,-18.010159
30,-18.308761,-17.853314
31,-18.234582,-17.847066
32,-18.161961,-17.851639
33,-18.139773,-17.702947
34,-18.101285,-17.685836
35,-18.043262,-17.692071
36,-18.021383,-17.589701
37,-17.934149,-17.615050
38,-17.918909,-17.623909
39,-17.838527,-17.567800
40,-17.741499,-17.445312
41,-17.762494,-17.487020
42,-17.736979,-17.522473
43,-17.785540,-17.444711
44,-17.781347,-17.333325
45,-17.773496,-17.421004
46,-17.706902,-17.410385
47,-17.760003,-17.447901
48,-17.701558,-17.450451
49,-17.801377,-17.423688
50,-17.716220,-17.356520
51,-17.667460,-17.393457
52,-17.712645,-17.319733
53,-17.719734,-17.333806
54,-17.727207,-17.356387
55,-17.670244,-17.281975
56,-17.730053,-17.335671
57,-17.748767,-17.264998
58,-17.651628,-17.258651
59,-17.697289,-17.251158
60,-17.602699,-17.248208
61,-17.599752,-17.218271
62,-17.604665,-17.206517
63,-17.537452,-17.248284
64,-17.656601,-17.264007
65,-17.574018,-17.226687
66,-17.567729,-17.163648
67,-17.639575,-17.138860
68,-17.585042,-17.115637
69,-17.575471,-17.162219
70,-17.541471,-17.104476
71,-17.601515,-17.191110
72,-17.515517,-17.080796
73,-17.473932,-17.079090
74,-17.446980,-17.093113
75,-17.534908,-17.082477
76,-17.467499,-17.018066
77,-17.465858,-17.108602
78,-17.393305,-17.104083
79,-17.424235,-17.058766
80,-17.421416,-17.086193
81,-17.397365,-17.099246
82,-17.374960,-17.080978
83,-17.406760,-17.043114
84,-17.395556,-17.026740
85,-17.341204,-17.083499
86,-17.391779,-17.015415
87,-17.326302,-16.999819
88,-17.420957,-17.036722
89,-17.407096,-17.007837
90,-17.363910,-16.989482
91,-17.401139,-16.994895
92,-17.370883,-16.945823
93,-17.281311,-16.967366
94,-17.364371,-16.932410
95,-17.401261,-16.910501
96,-17.323604,-16.894172
97,-17.388724,-16.947765
98,-17.329362,-16.897047
99,-17.277901,-16.850669
100,-17.318558,-16.868116
101,-17.265444,-16.875156
102,-17.288622,-16.859886
103,-17.288199,-16.897760
104,-17.205126,-16.860541
105,-17.262730,-16.884259
106,-17.331282,-16.864600
107,-17.273434,-16.884907
108,-17.184560,-16.920618
109,-17.193022,-16.918156
110,-17.261940,-16.818315
111,-17.168617,-16.842901
112,-17.233537,-16.778250
113,-17.147482,-16.789260
114,-17.240320,-16.767883
115,-17.225169,-16.769825
116,-17.171367,-16.756114
117,-17.172036,-16.819533
118,-17.170216,-16.746767
119,-17.215839,-16.793962
120,-17.194649,-16.848927
121,-17.158587,-16.690983
122,-17.135145,-16.750988
123,-17.128471,-16.761043
124,-17.160806,-16.718878
125,-17.117862,-16.722401
126,-17.156257,-16.692140
127,-17.174159,-16.767032
128,-17.147887,-16.691824
129,-17.128270,-16.676499
130,-17.171556,-16.665811
131,-17.175247,-16.716779
132,-17.190398,-16.709599
133,-17.159955,-16.726597
134,-17.145231,-16.732541
135,-17.168041,-16.718288
136,-17.164531,-16.727133
137,-17.054059,-16.671438
138,-17.108961,-16.670496
139,-17.116227,-16.661478
140,-17.097869,-16.642957
141,-17.077641,-16.727960
142,-17.132777,-16.679600
143,-17.054950,-16.633145
144,-17.091251,-16.679619
145,-17.152532,-16.669641
146,-17.057668,-16.622479
147,-17.081304,-16.639913
148,-17.149831,-16.615314
149,-17.110266,-16.651884
150,-17.111094,-16.661795
151,-17.132748,-16.636520
152,-17.106916,-16.608273
153,-17.117600,-16.696002
154,-17.091393,-16.653835
155,-17.076115,-16.620837
156,-17.076663,-16.644622
157,-17.104234,-16.645754
158,-17.153979,-16.589965
159,-17.101668,-16.660989
160,-17.158326,-16.720828
161,-17.110736,-16.613180
162,-17.146526,-16.625385
163,-17.128573,-16.587120
164,-17.094786,-16.575844
165,-17.054730,-16.637485
166,-17.119934,-16.581812
167,-17.136855,-16.555140
168,-17.150782,-16.511166
169,-17.122407,-16.591266
170,-17.118127,-16.577629
171,-17.070348,-16.518354
