Epoch,chi_Mean_0.235,chi_Mean_0.94,chi_Mean_3.76
1,-49.956040,-45.278874,-60.596212
2,-36.010162,-34.930096,-46.176808
3,-29.822730,-29.953349,-42.642660
4,-26.420160,-27.356765,-41.540948
5,-24.431339,-26.016569,-40.997774
6,-23.263455,-25.204392,-40.747932
7,-22.469948,-24.718277,-40.605603
8,-21.976637,-24.475837,-40.411925
9,-21.639352,-24.193096,-40.159604
10,-21.423147,-23.977720,-40.095821
11,-21.283115,-23.905838,-40.043881
12,-21.088474,-23.818517,-39.990943
13,-21.038916,-23.704781,-39.862441
14,-21.009181,-23.565293,-39.842276
15,-20.868868,-23.505371,-39.772280
16,-20.848663,-23.399045,-39.807993
17,-20.803055,-23.333251,-39.719519
18,-20.761120,-23.302768,-39.692844
19,-20.730419,-23.229461,-39.539080
20,-20.648268,-23.173970,-39.579248
21,-20.631083,-23.151900,-39.420747
22,-20.568072,-23.098179,-39.414637
23,-20.500432,-22.934376,-39.370061
24,-20.459938,-22.877578,-39.296978
25,-20.437475,-22.876194,-39.179642
26,-20.404438,-22.731388,-39.169012
27,-20.314057,-22.677742,-38.999527
28,-20.277501,-22.621401,-38.989594
29,-20.244453,-22.499117,-38.759162
30,-20.218966,-22.469490,-38.686696
31,-20.247267,-22.397649,-38.710587
32,-20.189667,-22.337489,-38.784666
33,-20.091488,-22.298874,-38.638057
34,-20.128800,-22.234488,-38.683825
35,-20.080152,-22.236874,-38.623742
36,-20.038061,-22.201610,-38.624269
37,-20.008994,-22.090400,-38.759499
38,-19.946371,-22.045955,-38.802419
39,-19.883533,-22.013772,-38.845157
40,-19.867798,-21.924003,-38.896554
41,-19.810749,-21.914071,-38.964076
42,-19.815899,-21.845956,-39.089970
43,-19.773506,-21.788880,-39.243061
44,-19.720650,-21.747911,-39.404956
45,-19.784256,-21.713578,-39.386153
46,-19.712055,-21.650534,-39.632838
47,-19.662121,-21.659620,-39.682872
48,-19.647261,-21.581110,-39.975506
