Epoch,chi_Mean_0.235,chi_Mean_0.94,chi_Mean_3.76
1,-48.796579,-42.282640,-70.452661
2,-29.024732,-26.290841,-56.105499
3,-21.760432,-21.723187,-52.456624
4,-24.466969,-24.492517,-50.770645
5,-27.248343,-26.571849,-50.046623
6,-28.921547,-27.862500,-49.775187
7,-29.985108,-28.623318,-49.563592
8,-30.761139,-29.068663,-49.266136
9,-31.052897,-29.419663,-48.996767
10,-31.334765,-29.481773,-48.794209
11,-31.414527,-29.614391,-48.587417
12,-31.653722,-29.725135,-48.390301
13,-31.717308,-29.668860,-48.226142
14,-31.785727,-29.693163,-47.927438
15,-31.793798,-29.705409,-47.875989
16,-31.777243,-29.711894,-47.671286
17,-31.852960,-29.655523,-47.504300
18,-31.815168,-29.660311,-47.447623
19,-31.805046,-29.557691,-47.342678
20,-31.738625,-29.519606,-47.229140
21,-31.717612,-29.574546,-47.136183
22,-31.767299,-29.516468,-47.093353
23,-31.835545,-29.536107,-47.014639
24,-31.735838,-29.551020,-46.918539
25,-31.697044,-29.500948,-46.871134
26,-31.744884,-29.573058,-46.882320
27,-31.725061,-29.505235,-46.850558
28,-31.677514,-29.457753,-46.781721
29,-31.552222,-29.384317,-46.696629
30,-31.618460,-29.324783,-46.678641
31,-31.522132,-29.365328,-46.676676
32,-31.584558,-29.454662,-46.620891
33,-31.518790,-29.343256,-46.602325
34,-31.474262,-29.350067,-46.543404
35,-31.498305,-29.271313,-46.460937
36,-31.452290,-29.200270,-46.462028
37,-31.365109,-29.233759,-46.485425
38,-31.385040,-29.200703,-46.386434
39,-31.372401,-29.205344,-46.392949
40,-31.338339,-29.133049,-46.417018
41,-31.281631,-29.122073,-46.421496
42,-31.196918,-29.067067,-46.302210
43,-31.232653,-29.089880,-46.319912
44,-31.218109,-28.972765,-46.304351
45,-31.143051,-29.005180,-46.361685
46,-31.069454,-28.953346,-46.399874
47,-30.998222,-28.908081,-46.299674
48,-30.991750,-28.842006,-46.337072
49,-30.965157,-28.927238,-46.343204
50,-30.947419,-28.811665,-46.360604
