alpha,c_initial,beta,epoch,mean_log_likelihood
0.5,0.001,0.46,0,-6.037319841758543
0.5,0.001,0.46,10,-3.179514423850843
0.5,0.001,0.46,20,-2.9316811581278124
0.5,0.001,0.46,30,-2.7802920305797785
0.5,0.001,0.46,40,-2.678960277056872
0.5,0.001,0.46,50,-2.6043363080293505
0.5,0.001,0.46,60,-2.5479486859208302
0.5,0.001,0.46,70,-2.5028679626556913
0.5,0.001,0.46,80,-2.466004735590714
0.5,0.001,0.46,90,-2.435256117691419
0.5,0.001,0.46,100,-2.40910501913393
0.5,0.001,0.46,110,-2.386745436734329
0.5,0.001,0.46,120,-2.367220937707397
0.5,0.001,0.46,130,-2.350383434767825
0.5,0.001,0.46,140,-2.3357454121178716
0.5,0.001,0.46,150,-2.321516330555462
0.5,0.001,0.46,160,-2.309988812745832
0.5,0.001,0.46,170,-2.2990510959810644
0.5,0.001,0.46,180,-2.2891817660187503
0.5,0.001,0.46,190,-2.2800953463633555
0.5,0.001,0.46,200,-2.2721402422473727
0.5,0.001,0.46,210,-2.265333916628579
0.5,0.001,0.46,220,-2.258269825234533
0.5,0.001,0.46,230,-2.2519886733165935
0.5,0.001,0.46,240,-2.246910939242605
0.5,0.001,0.46,250,-2.240521314765919
0.5,0.001,0.46,260,-2.236149970366225
0.5,0.001,0.46,270,-2.231816286444752
0.5,0.001,0.46,280,-2.2268696720443035
0.5,0.001,0.46,290,-2.2234126112011303
0.5,0.001,0.46,300,-2.218981438043487
0.5,0.001,0.46,310,-2.2160207716241898
0.5,0.001,0.46,320,-2.2129941997529308
0.5,0.001,0.46,330,-2.209725244402934
0.5,0.001,0.46,340,-2.2072193275386223
0.5,0.001,0.46,350,-2.2040598771574422
0.5,0.001,0.46,360,-2.201847431326174
0.5,0.001,0.46,370,-2.1992302222614777
0.5,0.001,0.46,380,-2.197080025090162
0.5,0.001,0.46,390,-2.1942092567728446
0.5,0.001,0.46,400,-2.1934939875556
0.5,0.001,0.46,410,-2.191990018559739
0.5,0.001,0.46,420,-2.189408444419891
0.5,0.001,0.46,430,-2.188228278301344
0.5,0.001,0.46,440,-2.1862157035459173
0.5,0.001,0.46,450,-2.184024825264668
0.5,0.001,0.46,460,-2.1828937821226533
0.5,0.001,0.46,470,-2.181909686838304
0.5,0.001,0.46,480,-2.181287512221455
0.5,0.001,0.46,490,-2.1788026845790074
0.5,0.001,0.46,500,-2.177929292925606
0.5,0.001,0.46,510,-2.1772389762215765
0.5,0.001,0.46,520,-2.176709131637064
0.5,0.001,0.46,530,-2.175181896006349
0.5,0.001,0.46,540,-2.1745262663731557
0.5,0.001,0.46,550,-2.173491417723865
0.5,0.001,0.46,560,-2.1726040946836416
0.5,0.001,0.46,570,-2.1720375785451798
0.5,0.001,0.46,580,-2.1708997569033506
0.5,0.001,0.46,590,-2.170167898889821
0.5,0.001,0.46,600,-2.1693063740722063
0.5,0.001,0.46,610,-2.169572118600076
0.5,0.001,0.46,620,-2.1687657305539587
0.5,0.001,0.46,630,-2.1671551654971553
0.5,0.001,0.46,640,-2.166600426474477
0.5,0.001,0.46,650,-2.167011129178489
0.5,0.001,0.46,660,-2.1656415880769075
0.5,0.001,0.46,670,-2.1650078729550746
0.5,0.001,0.46,680,-2.1653192032187905
0.5,0.001,0.46,690,-2.1640639854227253
0.5,0.001,0.46,700,-2.1640475670305848
0.5,0.001,0.46,710,-2.163886116413146
0.5,0.001,0.46,720,-2.1632379336775394
0.5,0.001,0.46,730,-2.163850216973959
0.5,0.001,0.46,740,-2.162797468865995
0.5,0.001,0.46,750,-2.161665153943289
0.5,0.001,0.46,760,-2.160644418051657
0.5,0.001,0.46,770,-2.1614508392623
0.5,0.001,0.46,780,-2.161685916449834
0.5,0.001,0.46,790,-2.161001206618487
0.5,0.001,0.46,800,-2.161043844874772
0.5,0.001,0.46,810,-2.1598070126704183
0.5,0.001,0.46,820,-2.160274495489361
0.5,0.001,0.46,830,-2.159383803773186
0.5,0.001,0.46,840,-2.1602205221196913
0.5,0.001,0.46,850,-2.1590203584409444
0.5,0.001,0.46,860,-2.1593504124098115
0.5,0.001,0.46,870,-2.1592523302424707
0.5,0.001,0.46,880,-2.1579852818470107
0.5,0.001,0.46,890,-2.158413929139934
0.5,0.001,0.46,900,-2.1591800807549255
0.5,0.001,0.46,910,-2.158728865944215
0.5,0.001,0.46,920,-2.1584094653048753
0.5,0.001,0.46,930,-2.1579399257605774
0.5,0.001,0.46,940,-2.1581564279699843
0.5,0.001,0.46,950,-2.156627461697834
0.5,0.001,0.46,960,-2.1579116360576753
0.5,0.001,0.46,970,-2.1575315695547768
0.5,0.001,0.46,980,-2.156872918214922
0.5,0.001,0.46,990,-2.156129443625272
0.5,0.001,0.46,1000,-2.1570518065768565
0.5,0.001,0.46,1010,-2.1567321249135403
0.5,0.001,0.46,1020,-2.1570980209431365
0.5,0.001,0.46,1030,-2.155645005179971
0.5,0.001,0.46,1040,-2.157806082317911
0.5,0.001,0.46,1050,-2.156321106182139
0.5,0.001,0.46,1060,-2.156358305256104
0.5,0.001,0.46,1070,-2.155561142293348
0.5,0.001,0.46,1080,-2.1559566275466717
0.5,0.001,0.46,1090,-2.156101081223413
0.5,0.001,0.46,1100,-2.1559326584234997
0.5,0.001,0.46,1110,-2.1569800834195227
0.5,0.001,0.46,1120,-2.1564851221642742
0.5,0.001,0.46,1130,-2.1547928975561357
0.5,0.001,0.46,1140,-2.1551837550040522
0.5,0.001,0.46,1150,-2.1552544633431547
0.5,0.001,0.46,1160,-2.1552330341483157
0.5,0.001,0.46,1170,-2.1552157592329766
0.5,0.001,0.46,1180,-2.15500503907882
0.5,0.001,0.46,1190,-2.1554071563279296
0.5,0.001,0.46,1200,-2.1535861502408626
0.5,0.001,0.46,1210,-2.1553411428336715
0.5,0.001,0.46,1220,-2.155775920526622
0.5,0.001,0.46,1230,-2.154268068479674
0.5,0.001,0.46,1240,-2.1556577949522113
0.5,0.001,0.46,1250,-2.154257050298388
0.5,0.001,0.46,1260,-2.1541846979035864
0.5,0.001,0.46,1270,-2.1557479038308376
0.5,0.001,0.46,1280,-2.1553175657267687
0.5,0.001,0.46,1290,-2.155771415291409
0.5,0.001,0.46,1300,-2.153781737066508
0.5,0.001,0.46,1310,-2.154893062335299
0.5,0.001,0.46,1320,-2.153817526076701
0.5,0.001,0.46,1330,-2.1552398243676247
0.5,0.001,0.46,1340,-2.153878412639711
0.5,0.001,0.46,1350,-2.1535793864992048
0.5,0.001,0.46,1360,-2.1562611603736306
0.5,0.001,0.46,1370,-2.1549662470753708
0.5,0.001,0.46,1380,-2.1545391737279678
0.5,0.001,0.46,1390,-2.1538848722557384
0.5,0.001,0.46,1400,-2.155337379572288
0.5,0.001,0.46,1410,-2.154208248432221
0.5,0.001,0.46,1420,-2.154976702919373
0.5,0.001,0.46,1430,-2.1535332129473406
0.5,0.001,0.46,1440,-2.154887567853189
0.5,0.001,0.46,1450,-2.154654806640184
