alpha,c_initial,beta,epoch,mean_log_likelihood
0.5,0.001,0.46,0,-5.91110755930221
0.5,0.001,0.46,10,-3.1479157323374762
0.5,0.001,0.46,20,-2.914049575164021
0.5,0.001,0.46,30,-2.769366693635511
0.5,0.001,0.46,40,-2.6731177399977986
0.5,0.001,0.46,50,-2.6027492170482436
0.5,0.001,0.46,60,-2.5533052799401634
0.5,0.001,0.46,70,-2.507466359409568
0.5,0.001,0.46,80,-2.4780324258664512
0.5,0.001,0.46,90,-2.4564603007697823
0.5,0.001,0.46,100,-2.4172850929769956
0.5,0.001,1.84,0,-8.72922317617213
0.5,0.001,1.84,10,-2.887535341106459
0.5,0.001,1.84,20,-2.749646728660279
0.5,0.001,1.84,30,-2.6595493623547912
0.5,0.001,1.84,40,-2.591866095310565
0.5,0.001,1.84,50,-2.5378416321493535
0.5,0.001,1.84,60,-2.4962224927737857
0.5,0.001,1.84,70,-2.4657156407139764
0.5,0.001,1.84,80,-2.4321098033621062
0.5,0.001,1.84,90,-2.4133773034009716
0.5,0.001,1.84,100,-2.3864117169483627
0.5,0.001,7.36,0,-148.67750185510815
0.5,0.001,7.36,10,-3.050455194175763
0.5,0.001,7.36,20,-2.7029762183382493
0.5,0.001,7.36,30,-2.5828510653799226
0.5,0.001,7.36,40,-2.513733860811395
0.5,0.001,7.36,50,-2.4583960895934043
0.5,0.001,7.36,60,-2.4191387208852317
0.5,0.001,7.36,70,-2.390932513333887
0.5,0.001,7.36,80,-2.364753352429597
0.5,0.001,7.36,90,-2.3468056585819888
0.5,0.001,7.36,100,-2.3282605656422506
1.0,0.001,0.445,0,-5.868824772423795
1.0,0.001,0.445,10,-2.874132258641558
1.0,0.001,0.445,20,-2.6251051858846965
1.0,0.001,0.445,30,-2.5012744260648363
1.0,0.001,0.445,40,-2.425158734361591
1.0,0.001,0.445,50,-2.374099917591348
1.0,0.001,0.445,60,-2.33871680364751
1.0,0.001,0.445,70,-2.313204515248173
1.0,0.001,0.445,80,-2.289576486075866
1.0,0.001,0.445,90,-2.281989200567949
1.0,0.001,0.445,100,-2.254728763844385
1.0,0.001,1.78,0,-8.152563154445122
1.0,0.001,1.78,10,-2.7787645638957876
1.0,0.001,1.78,20,-2.5750938327077924
1.0,0.001,1.78,30,-2.4806076312169028
1.0,0.001,1.78,40,-2.410002038990596
1.0,0.001,1.78,50,-2.3693606567900583
1.0,0.001,1.78,60,-2.3270849889293634
1.0,0.001,1.78,70,-2.312633009644383
1.0,0.001,1.78,80,-2.276887790537968
1.0,0.001,1.78,90,-2.2648279071938457
1.0,0.001,1.78,100,-2.259550907906121
1.0,0.001,7.12,0,-7.056763011113731
1.0,0.001,7.12,10,-2.8636083893369197
1.0,0.001,7.12,20,-2.663562641384142
1.0,0.001,7.12,30,-2.5586600740664975
1.0,0.001,7.12,40,-2.487402891367463
1.0,0.001,7.12,50,-2.4493284294906026
1.0,0.001,7.12,60,-2.394905967258569
1.0,0.001,7.12,70,-2.3758677938314037
1.0,0.001,7.12,80,-2.3451687723738255
1.0,0.001,7.12,90,-2.3345235703996723
1.0,0.001,7.12,100,-2.3110966934466033
2.0,0.001,0.445,0,-6.124396091293051
2.0,0.001,0.445,10,-3.0296836813093173
2.0,0.001,0.445,20,-2.669374379038058
2.0,0.001,0.445,30,-2.5077322372923714
2.0,0.001,0.445,40,-2.436604371186192
2.0,0.001,0.445,50,-2.373512375524367
2.0,0.001,0.445,60,-2.356890466536055
2.0,0.001,0.445,70,-2.334021568304646
2.0,0.001,0.445,80,-2.3069541651067844
2.0,0.001,0.445,90,-2.309511710923429
2.0,0.001,0.445,100,-2.2783188315190834
2.0,0.001,1.78,0,-14.380231289274537
2.0,0.001,1.78,10,-2.61097951511167
2.0,0.001,1.78,20,-2.4275782692714065
2.0,0.001,1.78,30,-2.3280463111208727
2.0,0.001,1.78,40,-2.29274427039417
2.0,0.001,1.78,50,-2.2553775939291683
2.0,0.001,1.78,60,-2.2416315089202783
2.0,0.001,1.78,70,-2.230014030405279
2.0,0.001,1.78,80,-2.2168955350203934
2.0,0.001,1.78,90,-2.2249517393775022
2.0,0.001,1.78,100,-2.2150688497047373
2.0,0.001,7.12,0,-315.28024979804377
2.0,0.001,7.12,10,-9.887219685827645
2.0,0.001,7.12,20,-8.194987787695247
2.0,0.001,7.12,30,-7.060105392968676
2.0,0.001,7.12,40,-5.742692851195205
2.0,0.001,7.12,50,-5.479108108360752
2.0,0.001,7.12,60,-4.501612153208946
2.0,0.001,7.12,70,-4.725589151724968
2.0,0.001,7.12,80,-3.938303256124012
2.0,0.001,7.12,90,-3.6319264609563753
2.0,0.001,7.12,100,-3.2367449382801396
